Order,Question,A,B,C,D,answer
1,A car travels from Lagos to Ibadan, at a distance of 120km/h. If the car uses a 4hours in the journey, calculate the average speed of the journey?,13km/h,40km/h,12km,45km/h,B
2,Solve the inequality 3x – 1 ≤3-2x,x<4/5,x ≥  4/5,x ≤  2/5  ,x≤4/5,D
3,Simplify the expression 4p + 45q – 3p – 40q,7p + 95q,p – 5q,7p + 5q,p + 5q,D
4,The following are properties of a square EXCEPT _____,all four sides are equal,diagonal are equal,only one pair of side is equal,opposite side are parallel,C
5,One fourth of a certain number is removed from two-fifth of the number. If result is 3, find the number,27,12,20,-20,C
6,Evaluate 3^(x+2) =27,1,-1,3, -3,A
7,Simplify 6xy + 3y - xy + 2y,5xy + 5y,6xy + 2y,9xy + y,4xy + 6y,A
8,Cuboid has ______ vertices,2,4,6,8,C
9,Find the compound interest on N800.00 at 4% for 2 years,N3,200.00,N865.28,N864.00,N65.28,D
10,Factorize 10mn + 10mn^2,10m(n+1),10(10+n),10m (n-1),10mn(1+n),D
11,If 12 is subtracted from three times a number, the result is equal to two-third of the number plus 16. What is the number?,7,8,9,12,D
12,Express 144 eight in base ten,120,116,100,96,C
13,Mr. Abioye has N17 in bank. How much does he need to buy a shirt that cost N33?,N16 ,N50,N51,N17,A
14,The sum of two consecutive numbers are divided by their difference is equal to 9. Find the larger number,-5,8,6,5,D
15,Find 3/8=9/x,8,24, 21,16,B
16,Which of the following is a plane shape?,circle,cone ,cube,cuboid    ,A
17,Find the co-efficient of mt in the expansion of 4m (3n-2t) + 3t (3t-2m),-14,-8,-6,9,A
18,Find 3/8=9/x,8,24, 21,16,B
19,Remove the bracket and simplify   4 (y- 3) + 2(2y - 7),12y + 26,8y - 11 ,8y - 26,6y +  26,C
20,Given that 2m+n=5 and m+2n=4.find the value of m,-2,1,2,4,C
21,Factorize x^2 + x – 2,(x+1)(x+2),(x+1)(x-2), (x-1)(x-2),(x-1)(x+2),D
22,Factorize x^2 + x – 2,(x+1)(x+2),(x+1)(x-2), (x-1)(x-2),(x-1)(x+2),D
23,A piece of land was sold for N250,000 by an agent who charged 5% of the cost of the land. Find the owner’s amount,N237,500,N238,500,N239,400,N239,000,A
24,Y&gt; -2 implies that,Y is greater than or equal -2,-2 is less than Y,Y is less than -2,Y is less than or equal to -2 ,B
25,The following set of scores were obtained in a class test as follows; 8, 6, 9, and 7. Find the mean,7.5,3.5,4.5,6.5,A
26,A number is multiplied by 5 and the result is twice the number added to 2. Find the number,0,2⁄7 ,2⁄3  ,11⁄2,C
27,Find the product of the mean and median of the following set of numbers 4, 5, 6, 6, 7, 6, 1,20,30,40,50,B
28,The sum of a certain number and 16 is 42 what is the number?,20,22,24,26,D
29,Simplify  1/ 4  (4m + 8n),m - n,m - 2n,m + 2n,m + n,C
30,Find the product of -15z and 17qrz,-255zr,-255qrz^2,-255qz ,255qr ,B
31,Find the HCF of 9x^2 and 27xy^2,9xy,9x,3x^2,3x,B
