Order,Question,A,B,C,D,answer
92,…..structure is used in storing farm produce.,Production,Processing,Utility,Storage,D
93,Which of the following operations should be carried out to prevent diseases in farm animals?,Vaccination,Castration,Culling,Insemination,A
94,Feeds that supply energy to the body of an animal is termed___,. Energy- releasing food, Energy- yielding feeds ,. Energy- boosting feeds,Energy- reducing feeds,C
95,Which of the following is NOT a pest of farmland,  	 Caterpillar, Earthworm,Squirrel,Termite,B
96,Feeds that supply energy to the body of an animal is termed___,. Energy- releasing food, Energy- yielding feeds ,. Energy- boosting feeds,Energy- reducing feeds,C
97,Which of the following is NOT a pest of farmland,  	 Caterpillar, Earthworm,Squirrel,Termite,B
98,Which of the following operations should be carried out to prevent diseases in farm animals?,Vaccination,Castration,Culling,Insemination,A
99,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
100,The following are terms used in stock exchange except ____,Securities,Bonds,Stock,Dollar,D
1,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
2,Activities carried out in the farm before   planting is,Post planting,Pre planting,Spacing,Planting,B
3,Which of the following animals does not feed on hay?,Cattle,Goat,Horse,Poultry,D
4,Which of the following is a piercing and sucking insect?,Grasshopper,Butterfly,Termite,Bettle,B
5,Which of the following crops cannot be processed by winnowing,Bambara nut,Cowpea,Maize,Sorghum,F
6,Mechanical method of weed control includes the following EXCEPT,destroying the weeds with herbicides  , pulling weeds with hand, cutting weeds with cutlass   ,using hoe in removing weeds,A
7,Structure made of wood or wire netting for rearing rabbit is,Paddock,Hutch,Cages,Fish pond,B
8,The following crops are sources of carbohydrate EXCEPT,Cabbage,Rice,Potato,Cassava,A
9,The following crops are sources of carbohydrate EXCEPT,Cabbage,Rice,Potato,Cassava,A
10,The following are biting and chewing insects EXCEPT,Bettle,Grasshopper,Butterfly,Rat,D
11,The following are mechanical weed control EXCEPT,Crop rotation,Cutting,Hand pulling,Hoeing,A
12,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
13,Disease causing organisms are referred to as____,Pathogene,Pathogenic,Pathogenn,Paraforce,B
