Order,Question,A,B,C,D,answer
1,Simplify V + F - E for a cube,3,6,1,2,B
2,When 40 is divided by the product of k and 2, the result is 5. Find k,-4 ,3,4,5,C
3,Remove the bracket and simplify   4 (y- 3) + 2(2y - 7),12y + 26,8y - 11 ,8y - 26,6y +  26,C
4,Simplify 6xy + 3y - xy + 2y,5xy + 5y,6xy + 2y,9xy + y,4xy + 6y,A
5,______ is used for measuring angles,Protractor,Ruler,Compass,Pencil,A
6,Find the HCF of 12 and 24,12,80 ,18,19,A
7,Factorize x^2 + x – 2,(x+1)(x+2),(x+1)(x-2), (x-1)(x-2),(x-1)(x+2),D
8,Facts and information obtained from Journals , newspaper, magazine etc are called ____ data,Primary,Secondary ,Event ,Probability,A
9,The sum of a certain number and 16 is 42 what is the number?,20,22,24,26,D
10,Evaluate (-28p)/4q of (-9rq)/7,-9pq,+9pr,9r,9p4    ,B
11,Simplify the expression 4p + 45q – 3p – 40q,7p + 95q,p – 5q,7p + 5q,p + 5q,D
12,Expand -2a(5b-3),-10ab+6a,10ab-6a,6a-10ab,-10ab-6a,A
13,Simplify 2x + 3x + x - 4x,2x,6x,5x ,3x,A
14,Factorize 10mn + 10mn^2,10m(n+1),10(10+n),10m (n-1),10mn(1+n),D
15,The area of a square is 100cm^2. Find the length of a side.,7,8,11,10,D
16,Evaluate (-28p)/4q of (-9rq)/7,-9pq,+9pr,9r,9p4    ,B
17,A cube has an edge of 12cm in length. What is its surface area in cm^2?,634,364,543,864,B
18,Simplify 2x + 3x + x - 4x,2x,6x,5x ,3x,A
19,Find the co-efficient of mt in the expansion of 4m (3n-2t) + 3t (3t-2m),-14,-8,-6,9,A
20,Write 66, 500, 005 in words,Sixty six billion five hundred and five,Sixty six million five hundred thousand and five,Sixty six trillion five hundred and five,Sixty six thousand five hundred and five,B
21,Factorize x2+2x-24,(x+6)(x-4),(x-6)(x-1),(x+2)(x-12),(x+5)(x-2),A
22,Find the product of -15z and 17qrz,-255zr,-255qrz^2,-255qz ,255qr ,B
23,I think of a number, I multiply it by 9, the result is 81 . Find the number,12,16,8,9,D
24,Evaluate (2y-2)/2+(2y+2)/3  where y= 2,1,2,3,5,C
25,Solve the question 2x + 1 =9,0,3,4,1,C
