Order,Question,A,B,C,D,answer
1,One of the functions of pressure groups is to,contest elections to serve the people,nominate the president,prepare the budget,articulate the opinion of their members.,D
2,Nigeria broke diplomatic relations with France in 1961 because of:,her poor relations with the francophone countries,General de-Gaulle’s negative attitude towards her,France’s diplomatic relations with Israel,France’s atomic test in the Sahara Desert,D
3,One basic feature of a monarchical form of government is that,separation of powers is absolute,members of the executive are elected,succession is through heredity,the ruler has a fixed tenure,C
4,One of the strong points of the multi-party system in Nigeria’s Fourth Republic is,government interference,wider political participation,wider anti-democracy campaign,the provision for a bicameral legislature.,B
5,The court that has ultimate power to interprets the constitution is the,Supreme Court,Magistrate Court,High Court,Court of Appeal,A
6,One of the functions of pressure groups is to,contest elections to serve the people,nominate the president,prepare the budget,articulate the opinion of their members.,D
7,A nation consist of people with ,common history ,common ancestry ,a  shared set of values ,A  B and C above,D
8,The emergence of nationalism was essentially the result of the ills of,independence,slavery,colonialism,imperialism,C
9,The Economic Community of West African States was established in ,May-75,May-63,May-66,May-96,A
10,The Universal Negro Improvement Association was founded by  ,Casely Hayford  ,Herber Macauly  ,Marcus Garvey  ,W.E.B. Du Bois,C
11,In theory  one major advantage of the one-party systems is that it,promotes greater mass participation in government,serves as an instrument of national integration,guarantees social justice,eliminates intra-party conflict.,B
12,A constitution is classified as unwritten when it,does not emanate from the legislature,provides for separation of powers,originates from Britain,is not contained in any single document,D
13,Delegated legislation has the advantage of,enlightening the public about law making procedure,saving parliamentary time,reducing the expenses of the legislature,preventing the executive from becoming too powerful.,B
14,The second military coup data in Nigeria took place on ,15-Jan-66,1-Oct-66,29-Jul-66,13-Feb-76,C
15,In many countries  citizenship can be acquired through the following processes except ,nationalization ,naturalization ,registration ,birth,A
16,Who among the following was NOT an officer in the pre-colonial Yoruba society?,Aremo,Are-Onakakanfo,Balogun,Oluwo,D
17,The final stage in the process of enacting legislation is  ,assent  ,final reading  ,notification  ,guillotine  ,A
18,A nation is made up of people who share,heterogeneous characteristics.,homogeneous and heterogeneous characteristics.,homogeneous characteristics.,same government only.,A
19,The amalgamation of the northern and southern protectorates and the colony of Lagos was in,1960,1966,1914,1957,C
20,Which of these countries has the highest population in West Africa? ,Mauritania,Ghana ,The Gambia ,Nigeria.,D
21,In a modern democracy  the ultimate source of sovereignty is the ,legislature and executive ,judiciary ,ruling political party ,people,D
22,Under Nigeria’s Second Republic  the Senate was under the leadership of,John Wash Pam,J. S. Tarka,Joseph Wayas,Godwin Ume-Ezeoke.,C
23,An example of a country with a flexible constitution is,South Africa,Britain,Benin Republic,the United States of America.,D
24,An electoral process in which candidates are selected for elective offices by party members is,Primary election,Electoral College,Bye election,General election,A
25,Government is the machinery established to manage the affairs of,rulers,aliens,the civil service,the state,D
26,In a federal state  power is shared,between the center government and the local authorities,among the state of the federation,among the major regions of the country,between the center government and other co-ordinate units.,D
27,In a federal constitution  legislative powers that are shared by two levels of government are referred to as,exclusive,extra-ordinary,residual,concurrent.,D
28,Nigeria commitment to the liberation of Africa could best be seen in her policy towards,Namibia and Mozambique,the Congo and Zimbabwe,Sierra Leone and Chad,South Africa and Angola,D
29,The judiciary controls the executive in federal states through,motions,delegated legislation,judicial overview,judicial review.,D
