Order,Question,A,B,C,D,answer
1,Which of the following statements is true of a proton.,The total mass of the protons in a particular nucleus always half the nuclear mass,The mass of a proton is 1840 times the mass of an electron,The mass proton is 1.0008g,The mass of a proton is one-twelfth the molar mass of carbon,B
2,A constituent common to moist air  it gradually rusts. This is due to the formation of,Silver,Copper,Tin,Lead,C
3,To obtain pure carbon(II) oxide from its mixture with carbon (IV)oxide  the mixture should be,Bubbled through concentrated Tetraoxosulphate(VI) acid,Bubbled through sodium hydroxide,Passed over heated copper(II) oxide,Bubbled through water,B
4,What is the mola. Mass of a substance  if 0.4 mole of the substance has a mass of 25.0g,6.3g,40.0g,62.5g,2.5g,C
5,Metalloids are also referred to as,Metals,Semi-metals,Colloids,Non-metals,B
6,The produce of the combustion of candle wax are,Carbon(IV) oxide and water,Oxygen and water,Hydrogen and water,Carbon(II)oxide an d water,A
7,In the electrolysis of brine  the anode is,Platinum,Copper,Zinc,Carbon,D
8,Coffee stains can best be removed by,Turpentine,A solution of borax in water,Ammonia solution,Kerosene,B
9,When a solid substance disappears completely as a gas on heating  the substance is said to have under gone,Evaporation,Distillation,Crystallization,Sublimation,D
10,A gas X diffuses twice as fast as gas Y under the same conditions. If the relative molecular mass of X is 28. Calculate the relative molecular mass of Y,120,14,56,112,D
11,The chromatographic separation of ink is based on the ability of the components to,React with each other,React with the solvent,Dissolve in each other in the column,Move at different speeds in the column,D
12,The allotrope of carbon used in the decolourization of sugar is,Graphite,Soot,Charcoal,Lampblack,C
13,Nigerian crude oil is described as light crude because of its,Low aliphatic hydrocarbon content,Low sulphur content,High natural gas content,High octane number,C
14,Catalytic hydrogenation of benzene produces,Oil,Cyclohexane,Cycloexane,Margarine,C
15,In which of the following is the entropy change positive,Reaction between an acid and a base,Addition of concentrated acid to water,Dissolution of sodium metal in water,Thermal dissociation of ammonium chloride,C
16,The gas that gives brown colouration in brown ring test,Co2,NO2,NO,CO,B
17,Pure solvents are obtained by,Distillation,Condensation,Extraction,EvapopraTION,A
18,Which of the following shows little or no net reaction when the volume of the system is decreased, H2(g)  +  l2(g)  ⇌  2Hl(g),2NO2(g)  ⇌  N2O4(g), PCl5(g)   ⇌ PCl3(g)  + Cl2(g), 203(g)   ⇌  3O2(g),A
19,One of the major uses of Alkanes is,In the hydrogenation of oils,In the textile industries,In the production of plastics,As domestic and industrial fuels,D
20,Which of the following statements is true of a proton.,The total mass of the protons in a particular nucleus always half the nuclear mass,The mass of a proton is 1840 times the mass of an electron,The mass proton is 1.0008g,The mass of a proton is one-twelfth the molar mass of carbon,B
21,Which of the following statements is true of a proton.,The total mass of the protons in a particular nucleus always half the nuclear mass,The mass of a proton is 1840 times the mass of an electron,The mass proton is 1.0008g,The mass of a proton is one-twelfth the molar mass of carbon,B
22,The metal that liberates hydrogen from cold water in bubbles only is,Na,K,Ca,Al,C
23,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
24, N2O4(g)    ⇌  2NO2(g),A constant volume,An increase in pressure,A decrease in pressure, A decrease in volume,C
25,The property of chlorine which causes hydrogen chloride to be more ionic than the chlorine molecule is its,Electrovalency,Electron affinity,Electropositivity,Electronegativity,D
