Order,Question,A,B,C,D,answer
1,Heat energy can be used for the following except,(a) generate heat for steam engines  ,(b) generate heat for cooking ,(c) prevention of germs on some consumable items ,(d) vision in the dark,D
2,What type of energy does the sun give out?,(a) ​solar energy ,(b)  radiant energy ,(c)  kinetic energy ,(d)potential energy ,A
3,Which of the following is a natural source of energy?, A. Batteries , B.Coal, C.Electric generator,D.Kerosine ,B
4,The transition stage of development is ______,Baby – childhood – Adulthood   , b)Childhood- Body –Adolescent –Adulthood ,  (c)Baby –Adulthood – Childhood –Adolescent,d)Adulthood – Adolescent –Baby –Childhood.,A
5,The following are classes of food except,A. Carbohydrates  ,B. fats and oil,​C. glucose ,D. mineral salts,C
6,On air or tree environment is also known as _____,Airy habitat   ,      b)Arboral habitat ,      (c)Arboreal habitat   ,  d)Jumping habitat,C
7,The ability to do work is,A. tension   ,B. weight ,​C. newton ,D. energy,D
8,​The following are advantages of friction except that it,(a)  enables a car to come to rest. ,(b) enables sharpening of tools.  ,(c) makes an object move on belt drives. ,(d) produces heat in the moving machine parts.,D
9,Which of the following is a good conductor of heat?,A. Aluminium ,B. Chlorine ,C. Hydrogen ,D. Oxygen,A
10,The following are natural sources of water except,A. ocean ,B. pipe-borne ,C. rain ,D. spring  ,B
11,The ability to do work is,(a)  tension ,(b)  weight,(c)    newton ,(d)energy ,D
12,The following are ways of maintaining good health except,  A. avoid drinking alcohol. ,B. eating a balanced diet., C. maintaining personal hygiene. ,  D. smoking cigarettes.,D
13,The following are characteristics of living things except,A. Expansion  ,B. feeding ,C. growth ,D.movement  ,F
14,Heat energy can be used for the following except,A. generate heat for steam engines               A. generate heat for steam engines                  A. generate heat for steam engines                     A. generate heat for steam engines ,B. generate heat for cooking ,C. prevention of germs on some consumable items ​,D.  vision in the dark,D
15,On air or tree environment is also known as _____,Airy habitat   ,      b)Arboral habitat ,      (c)Arboreal habitat   ,  d)Jumping habitat,C
16,Which of the following is a good conductor of heat?,A. Aluminium ,B. Chlorine ,C. Hydrogen ,D. Oxygen,A
17,The unit of force is,(a) joules,(b)  newton ,(c)  watts,(d) meters,A
18,Gravitational pull causes the following except,A. makes object to have weight.,B. causes object to fall back when thrown up.,C. causes objects to float in air.,​D. causes objects to feel heavy.,C
19,One of these is a source of energy,A. work,B. effort,​C. natural gas ,D. energy,C
20,Which of the following is a natural source of energy?, A. Batteries , B.Coal, C.Electric generator,D.Kerosine ,B
21,The energy a body possess by the virtue of its motion is,A. heat energy,B. light energy,C. kinetic energy,D. potential energy,C
22,What type of energy does the sun give out?,(a) ​solar energy ,(b)  radiant energy ,(c)  kinetic energy ,(d)potential energy ,A
23,The ability to do work is,A. tension   ,B. weight ,​C. newton ,D. energy,D
24,​-------------------------is a state of not experiencing gravitational force,A.Asteroids ,B.comets, C.satelites,D. night ,D
25,Which of these is not a class of food?,A. Carbohydrate ​,B. Fats and oils , C. glucose,D. Protein,C
26,​A way of reducing friction in the moving parts of a machine is by applying,(a) bitumen ,(b) diesel,(c) grease,(d)kerosine ,C
27,Which of the following is a good conductor of heat?,A. Aluminium ,B. Chlorine ,C. Hydrogen ,D. Oxygen,A
28,Which of these is not a class of food?,A. Carbohydrate ​,B. Fats and oils , C. glucose,D. Protein,C
29,Human beings belong is different from other primates because,   a)He can stand upright ,b)He has nails and not claws      ,     c)He possesses largest and highly developed brain for thinking and speech  , d)He has hair on every part of his body.,C
30,Gravitational pull causes the following except,A. makes object to have weight.,B. causes object to fall back when thrown up.,C. causes objects to float in air.,​D. causes objects to feel heavy.,C
31,Examples of terrestrial organisms include all of the following except,(a)Earthworm, (b)Rats, (c)Lobsters,d)Man .,C
32,The ability to do work is,(a)  tension ,(b)  weight,(c)    newton ,(d)energy ,D
33,What type of energy does the sun give out?,A. solar energy,B.radiant energy ,C.kinetic energy ,D.potential energy ,A
34,What type of energy does the sun give out?,A. solar energy,B.radiant energy ,C.kinetic energy ,D.potential energy ,A
35,Most ___   depends on chemicals or product of chemicals as their raw material, (a)Nam  (a)School ,b)Bus  ,    (c)Industries,d)Place.,C
36,The scientist that proposed the principles of gravity is,A. Moses.,​B. Isaac Newton​,C. Plato,D Aristotle,B
37,Which of these is not a major type of habitat?,   (a)Aquatic   ,b)Arboreal  ,c)Terrestrial ,d)Marine  ,D
38,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
39,The following are advantages of friction except that it,A. enables a car to come to rest.  , B. enables sharpening of tools., C. makes an object move on belt drives. ,D. produces heat in the moving machine parts.,D
