Order,Question,A,B,C,D,answer
1,The Ministry of Peace is concerned with making,instruments,weapons,wars,reconciliation,D
2,The language used  in Eliot’s ‘The Journey of the’ Magi is generally,difficult,complex,simple,complicated.,C
3,The most important concepts in poetry are,Strong and action,Plot and rhythm,Rhythm and imagery,Plot and character,C
4,The speech made at the end of a dramatic performance is generally called,A prologue,An epilogue,A dirge,A monologue,B
5,An extended fictional narrative which is realistic is known as a,Diary,Novel,Novella,Short story,B
6,The national day in The Old Man and the Medal is  ,1st of October  ,27th of May  ,12th June  ,14th July,D
7,“O mother  my mother!...How could I be expected to know? I was a child when I left this house four months ago. Why didn’t  you tell me there was danger in men-folk? Why didn’t you warn me?” the speech above achieves its literary effect through the use of: ,litotes  ,onomatopoeia ,allusion  ,repetition.,D
8,Life  though a vanity Yet  not purposeful In drawling<br> resignation Life’s spice is in strive<br> From the extract above  the poet suggests that,life is full of care,there can’t be life without strive,life is worthwhile without care,strive makes life worth living.,B
9,In Leopold Sedar Senghor's "I will pronounce Your Name" Naeth represents ,Africa ,Senegal ,the poet's mother ,the poet's lover.,B
10,In the society of Nwokocha Agbadi  a man’s social rating determined by his,oratorical power,physical prowess,gentle men,altruistic actions,B
11,Who must the narrator fight one on one at the battle royal?,Tatlock,Jack,The M.C,His friend,D
12,The speech made at the end of a dramatic performance is generally called,A prologue,An epilogue,A dirge,A monologue,B
13,In China  according to D.H. Lawrence  bats are symbols of: ,death  ,birth ,caution ,joy,D
14,The pepper strong enough to push scorpions. This expression illustrates the use of,Euphemism,Personification,Irony,Satire,A
15,In William Blake's poem "The school boy"  the mental picture created in the mind of the reader is of a,Man ,Little boy,Little girl,Woman,B
16,One of the themes in A Raisin in the Sun is ,Warning to renegades,Pain and misery,Abandonment,Right and choice,D
17,The central conflict in the play is about  ,Lawyer Bonu’s attempt to seduce Maanan  ,career choice for James Ofosu’s children  ,Hannah’s lack of respect for James  ,Fosuwa’s bid to force Lawyer Bonu on Maanan,B
18,Constance reveals that she knows Marlow's reputation  since Marlow is friends with,Mr. Hastings,Neville,Mr. Hardcastle,Mrs. Hardcastle,A
19,Young Charles Marlow is extremely shy around,Refined young ladies,Bold and outspoken women,Gentlemen of same calibre,Hardcastle's,A
20,Gullet is so named by the natives because of his  ,razor-sharp wit  ,long neck ,closeness to the people ,hostility ,B
21,In Hardcastle's house  Hrdcastle and several "awkward servants" enter  the former instructing them on how to appear,Disgusting,Sophisticated,Friendly,Fuming,B
22,Which of these is not true about unity of action in a novel? ,action may be unified through a single main character  ,action may be unified by being set in one place  ,action may be unified by many characters  ,action may be unified by using set in one consistent point of view.,A
23,The use of first person singular in the book indicates,Omniscient point of view,Flash back narrative technique,Foreshadowing narrative technique,Participant point of view,D
24,Bigger kills and throws Mary Dalton's remains in the ,Lagoon,Street,Furnace,Pit,C
25,“.... in my rate” means,I’m very certain,so far as I can see,there’s no doubt,as it appears,D
26,What eyes will watch our large mouths? What ear to our pitiful anger  what heart will listen to our clamoring? Illustrate,Irony,Metonymy,Synecdoche,Fable,C
27,The physical setting of Native son is,Chicago,Atlanta,Miami,Houston,A
28,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
29,In a narrative poem  the poet attempts to,summarize a story,describe a place,preach a sermon,tell a story,D
30,One of the themes in A Raisin in the Sun is ,Warning to renegades,Pain and misery,Abandonment,Right and choice,D
31,The tone in Dennis Brutus' "A Troubadour I Traverse .... " can be described as: ,defiant ,submissive ,regretful ,arrogant.,A
32,In Masizi Kunene’s “A Heritage of Liberation; this season’ refers to the period of: ,oppression ,freedom  ,migration  ,resettlement,B
33,The person being addressed above is a,soldier,student,domestic servant,lawyer,C
34,In Oyonon’s The Old Man and the Medal  Ignatius Obebe isa : ,driver ,soldier ,carpenter ,catechist.,D
35,The atmosphere of tragedy in the play is created through the use of,dreams and foreboding,fights and quarrels,wars and hatred,ideas and dramatization,A
36,A dirge is a poem sung,to send a child to sleep,to make workers happy,at a birthday party,at a funeral,D
37,Soon after  Ariel,files off to do his duty,recounts the confusion on board the ship,kneels down to worship Prospero,calls Ceres and another spirit,B
38,In a narrative poem  the poet attempts to,summarize a story,describe a place,preach a sermon,tell a story,D
39,Tony Steals the casket containing,Kate's Jewels,Mrs. Hardcastles's Jewels,Miss. Hardcastle's Jewel,Constance's Jewels,D
40,The suddenly her heart was whipped up  she now rode on strange waves: alone defying the wind and the rain; alone  fighting hunger and thirst in the desert  alone  struggling with strange demons in the forest bringing  glad tidings to her people. The mood of the lady in this  passage is one of ,simple defiance ,defeat  ,triumphant  ,depression,C
41,The technique employed in narrating the excerpt above is,flashback,stream of consciousness,foreshadowing,play-within-the-play.,B
42,Dramatis personae in a play refers to,List of characters,Order of appearance,Cast list,Protagonist and antagonist,A
43,What eyes will watch our large mouths? What ear to our pitiful anger  what heart will listen to our clamoring? Illustrate,Irony,Metonymy,Synecdoche,Fable,C
44,What eyes will watch our large mouths? What ear to our pitiful anger  what heart will listen to our clamoring? Illustrate,Irony,Metonymy,Synecdoche,Fable,C
45,The dominant literary device used in the passage is,litotes,personification,simile,paradox,B
46,A plot structure that defies chronology can be described as,open-ended,circular,episodic,organic,C
47,The speaker is,Lago,Cassio,Othello,Desdemona,C
48,The tone or mood of the speaker in the poem is:  ,neutral  ,angry  ,happy  ,sad ,D
49,The rhyming pattern in the last stanza of Lade Wosornu's "Raider of the Treasure Trove" makes the stanza,An octave,A quatrain,A couplet,A sestet,C
50,Kofi Awoonors. The Anvil and the Hammer. The dominant imagery used in the poem is,Dress-making,New life,Tradition and modernity,Flags,A
51,Laboratory tests have nothing to show. This expression is an example of,Metaphor,Personification,Irony,Metonymy,B
52,The major reason for Juliet’s grief is,the death of her cousin,her reluctant marriage to the County,the banishment of her lover,her imminent death.,C
53,Caricature is used to ,censure an individual by emphasizing his weakness ,expose the folly  in literature  ,ridicule a person by distorting his most prominent features ,elicit the artistic potential of dramatist.,C
54,The expression above implies,Parallelism,Allegory,Personification,Repetition,C
55,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
56,Why did Catherine refuse to marry Heathcliff?,Heathcliff is of a low class,Heathcliff is blind,Heathcliff is not educated,Heathcliff is her cousin,A
57,A literary work which imitates another in a distorted form is called,Metonumy,Burlesque,Exodium,Isocohen,B
58,Caliph: "You have spoken well. I agree with the Waziri' s suggestion. You shall be organize your men and build in new well in the market. “That is our judgement". What informed this statement? ,Waziri fight with the white man ,Waziri's disagreement with Sarkin Zango ,the dispute between Caliph Attahiru and Prince Muhammed al-Tahir  ,the dispute between Sarkin Zango and Sarkin Fatake.,D
59,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
60,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
61,A port's use of regular rhythm is know as ,Metre,Assonance,Allegory,Onomatopoeia,A
62,A plot structure that defies chronology can be described as,open-ended,circular,episodic,organic,C
63,When the speaker in a poem cannot be identified with poet  that speaker is called: ,a persona ,a dramatic persona ,a soliloquist,a ventriloquist.,A
64,In the novel  Orwell attempts to,satirize the artificiality of a machine ‘controlled society,eulogize the beauty of the socialist system,condemn the disgusting hypocrisy of all communist    	 systems,laud the boundless possibilities of the human intellect.,C
65,Soon after  Ariel,files off to do his duty,recounts the confusion on board the ship,kneels down to worship Prospero,calls Ceres and another spirit,B
66,An expression that signifies a whole through its significant parts is,synesthesia,synecdoche,metonymy,allegory,B
67,In Masizi Kunene’s “A Heritage of Liberation; this season’ refers to the period of: ,oppression ,freedom  ,migration  ,resettlement,B
68,Maanan expresses dislike for Lawyer B because of,his condemnation of  her choice career,his recent advances towards her,the betrayal of her father’s trust,the betrayal of his wife’s trust,C
