Order,Question,A,B,C,D,answer
1,Bank reconciliation statement reconciles,bank and cash balances in the cash book,bank balance in the cash book and bank statement balance,cash balance in the cash book and bank statement balance,bank balance brought down and bank balance carried down in the cash bcok.,B
2,Which of the following is the equation for determining net profit or loss from the records of a firm?,Closing Capital - Drawings - Capital Introduced,Opening Capital + Drawings - Closing Capital,Closing Capital + Opening Capital - Drawings,Closing Capital + Drawings - Opening Capital,D
3,The instrument used to release fund which the minister of finance had earlier withheld is,reserve expenditure warrant,supplementary general warrant,provisional general warrant,supplementary statutory warrant,B
4,Which of the following is a debit item in the purchases ledger control account?,Balance b/d,Cheque dishonoured,Purchases,Balance c/d,D
5,Which of the following subsidiary books involves cash movement?,Sales day book,Purchases day book,Returns inwards book,Petty cash book,D
6,Determine the amount for the beginning inventory,N 20,140,N10,240,N 8,140,N 7,240,B
7,Bank reconciliation statement reconciles,bank and cash balances in the cash book,bank balance in the cash book and bank statement balance,cash balance in the cash book and bank statement balance,bank balance brought down and bank balance carried down in the cash bcok.,B
8,Wilson Company owns land which cost 14100, 000. If a "quick sate" of the land was necessary to generate cash, the company feels it would receive only N80, 000.    The company continues to report the asset on the balance sheet at N100, 000   This is justified under which of the following concepts?  ,The historical-cost principle.,The value is tied to objective and verifiable past transactions.,Neither of the above., Both "a" and "b",A
9,The prime cost is,GHc 64,500.,GHc 64,000.,GHc 58,500.,GHc 52,500.,A
10,The quality of output information depends on the,quality of input data,time of processing,speed of processing,quantity of output device,A
11,Final accounts of a company refers to: ,Trading and profit and loss account  ,Profit and loss account and balance sheet  ,Trading account and balance sheet  ,Trading , profit and loss account and balance sheet,D
12,  Prepaid wages is an item in the (i)Balance Sheet (ii) Profit and loss account (iii)Trading  account (iv) Cash account ,i, ii, iii only ,ii, iii  ,i, ii ,iii, iv,A
13,The test of arithmetical accuracy of all postings in the ledger is provided in the: ,Journal  ,Day book  ,Cash book  ,Trial balance,D
14,Cash receipts and payments involving discounts are entered in,three-column cash book.,two-column cash book.,analytical cash book.,petty cash book.,A
