Order,Question,A,B,C,D,answer
1,What happens to a supply curve when the variables that are normally held constant are allowed to changer? ,the curve flattens out,there is a movement along the curve,the curve shifts ,the curve becomes steeper.,C
2,Roles of central bank include the following except  ,Lender of last resort to commercial bank  ,Banker to commercial bank  ,Regulator to both the money and capital markets ,Receipt  of government deposits,B
3,Government can control inflation by,printing more money,reducing the rate of taxes,reducing the level of expenditure,establishing more banks,C
4,The 150.00 Naira which Olu would have used to purchase a textbook was used to buy a T-shirt. This implies that,Olu’s real cost is 150.00 Naira,Olu’s opportunity cost is the T-shirt,Olu’s opportunity cost is the textbook,Olu’s money cost is also the real cost.,C
5,Roles of central bank include the following except  ,Lender of last resort to commercial bank  ,Banker to commercial bank  ,Regulator to both the money and capital markets ,Receipt  of government deposits,B
6,A tax is regressive if the,rate of tax is constant at all income levels,rate of tax decreases as income increases,rate of tax increases as income increases,tax is direct rather than indirect,B
7,If the price of good X rises and the quantity demanded of good Y increases then the two goods X and Y must be,inferior good,substitutes,complements,free goods,B
8,Farming  mining and fishing are,primary production,secondary production,tertiary production,intermediate production,A
9,Which of the following correctly defines inflation? ,A one-time increase in commodity prices ,A period when prices increase rapidly,A sustained increase in the overall price level ,An increase in the overall level of business activity,C
10,The shares which do not carry any fixed rate of dividend are known as,debentures,cumulative preference shares,ordinary shares,participating preference shares,C
11,The 150.00 Naira which Olu would have used to purchase a textbook was used to buy a T-shirt. This implies that,Olu’s real cost is 150.00 Naira,Olu’s opportunity cost is the T-shirt,Olu’s opportunity cost is the textbook,Olu’s money cost is also the real cost.,C
12,If the price of good X rises and the quantity demanded of good Y increases then the two goods X and Y must be,inferior good,substitutes,complements,free goods,B
13,Where the burden of a tax finally rest is called,tax object,tax rate,incidence of taxation,system of taxation.,C
14,Money becomes a very poor store of value in a period of,deflation,depression,recession,inflation,D
15,Which of the following is the most liquid asset to a commercial bank? ,cash ,money at call ,stock and shares ,Treasury Bills.,A
16,When workers have a union  the supply of labour is said to be,Monopolistic,oligopolistic,Monoposonistic,competitive,B
17,Which of the following is not reason for establishing public 	enterprises?,Discouraging investors,Opening up neglected parts of the country,Effective control of a natural monopoly,Rapid economic development,A
18,One of the functions of commercial banks is,maintaining stable price in the economy,granting loans to customers,regulating monetary policies,issuing bank notes and coins,B
19,One reason for the low agricultural production in West African countries is that,agriculture employs the highest percentage of the labour force,too much money is invested in agriculture,farmers lack the finance and technology required,the farms are too large,C
20,When workers have a union  the supply of labour is said to be,Monopolistic,oligopolistic,Monoposonistic,competitive,B
21,The Net National Product (NNP) is Gross National Product (GNP) less,domestic product,foreign product,depreciation,investment,C
22,A firm is said to be a public joint stock company when it,is owned by the government,sells its shares to members of the public,operates as a government corporation,is not legally recognized as a firm,B
23,The three principal economic units in any system are,trade  industry and banking,workers  consumers and shareholder,households  firms and government,companies  industry and plants,C
24,One good reason for the elimination of middlemen is that they,cause increase in price,help in price stability,grade and blend goods,are too many,A
25,The Basic Needs Approach to development is directed a,poverty alleviation,provision of educational infrastructure,provision of health services,improvement in worker’s income,A
26,Which of the following is the most liquid asset to a commercial bank? ,cash ,money at call ,stock and shares ,Treasury Bills.,A
27,Which of the following statements is true? ,Disposable income is the only variable that determines consumption   ,Investment spending is positively related to the rate of interest   ,imports lead to a decrease in the level of exports  ,Imports lead to a decrease in spending on locally produced goods and services.,D
28,If the population of a country is low and the Gross National Product is high  the per capita income will be,high,low,average,unitary,A
29,The privatization exercise in Nigeria is a move towards a,mixed economy,subsistence economy,market economy,command economy,C
30,A production possibility curve shows ,how much of the resources of society are used to produce a particular commodity ,the rate of inflation ,the rate of unemployment in the economy ,the various combination of two commodities that can be produced.,D
31,Price discrimination exists when  ,The same product of the same quality is sold for different prices of the same buyer  ,The same product of the same quality is sold for different prices to different buyers  ,Different products are sold for the same price to the same buyers  ,Different products are sold for the same price to different buyers.,B
32,The motive for holding money for investing in securities is 	referred to as,transactionary,speculative,accumulation,deflationary,B
33,If tax takes a larger proportion of the income of people with 	lower income  the tax is,progressive,proportional,regressive,ad-valorem,C
34,One major function of the entrepreneur is,bearing of risk,maximizing profits,taking charge of day to day management,determining the selling price of his products,C
35,The market price of a commodity is normally determined by the,law of demand,interaction of the forces of demand and supply.,total number of people in the market,total quantity of the commodity in the market.,B
36,If a monopolist is incurring short–run losses  this means that his,selling price is above the short–run marginal cost,selling price is below the short–run marginal cost,average revenue is greater than marginal revenue,average revenue is less than marginal revenue,B
37,By buying treasury bills  the Central Bank of  Nigeria intends 	to,increase money supply in the economy,reduce money supply in the economy,reduce the cash reserve ratio for banks,increase the capital base of commercial banks,B
38,in developing countries  governments influence the location of  industries in order to,spread development,encourage entrepreneurs,redistribute wealth,encourage industries to earn high profits,A
39,When governments want to discourage consumption  they 	tax goods whose demand,price inelastic,abnormal in nature,price elastic,normal in nature,C
40,Which of the following tools of economic analysis is used when data contains more than one category?,Bars charts,Component bar charts,Graphs,Symbolical statement,B
41,One of the functions of commercial banks is,maintaining stable price in the economy,granting loans to customers,regulating monetary policies,issuing bank notes and coins,B
42,If a monopolist is incurring short–run losses  this means that his,selling price is above the short–run marginal cost,selling price is below the short–run marginal cost,average revenue is greater than marginal revenue,average revenue is less than marginal revenue,B
43,The shares which do not carry any fixed rate of dividend are known as,debentures,cumulative preference shares,ordinary shares,participating preference shares,C
44,To improve the balance of payments position of West African countries  there must be,removal of barriers to importation of goods and services,increased rate of exportation of goods and services,increased domestic consumption of foreign produced goods,the development of the local market.,B
45,The reward for labour is,wages,profit,rend,dividends,A
46,Which of the following is a characteristic of monopoly?,Many sellers,Homogeneous commodity.,A single seller,Perfect knowledge,C
47,Which of the following  is  not  an  advantage  of  tabular presentation of data?,enables easy location of required figures,makes for easy comparison of figures,occupies more space than mathematical equation,shows whether the figures are increasing or decreasing,C
48,Roles of central bank include the following except  ,Lender of last resort to commercial bank  ,Banker to commercial bank  ,Regulator to both the money and capital markets ,Receipt  of government deposits,B
49,An efficient weapon used in resolving disputes between employers and employees is,co – operation,collective bargaining,display of placards,legal action,B
50,One way to solve the economic problem of inflation in a country is by increasing the,supply of commodities,supply of currency,salaries of workers,demand for commodities.,A
51,The market consisting  of  a  network  of  dealers  where 	currencies can be bought and sold is known as,capital market,foreign exchange market,commodity market,the stock market,B
52,Economic activities are undertaken to solve the problem of,consumption,opportunity cost,production,scarcity,B
53,One reason for the low agricultural production in West African countries is that,agriculture employs the highest percentage of the labour force,too much money is invested in agriculture,farmers lack the finance and technology required,the farms are too large,C
54,In economics  the pleasure  happiness  or satisfaction received from a product is called: ,Marginal cost ,Rational outcome ,Status fulfillment ,Utility.,D
55,The number of people who are qualified to work and who offer themselves for employment are called,migrant labour,working population,labour turnover,mobility of labour,B
56,Which of the following can be deduced from law of variable proportions when total output is rising?,MP is greater than AP,MP is less than AP,MP is equal to AP,MP is equal to zero,D
57,If the price of good X rises and the quantity demanded of good Y increases then the two goods X and Y must be,inferior good,substitutes,complements,free goods,B
58,The Basic Needs Approach to development is directed a,poverty alleviation,provision of educational infrastructure,provision of health services,improvement in worker’s income,A
59,Price discrimination exists when  ,The same product of the same quality is sold for different prices of the same buyer  ,The same product of the same quality is sold for different prices to different buyers  ,Different products are sold for the same price to the same buyers  ,Different products are sold for the same price to different buyers.,B
60,The Net National Product (NNP) is Gross National Product (GNP) less,domestic product,foreign product,depreciation,investment,C
61,The reward for land as a factor of production is,interest,rent,dividend,wages,B
62,The three principal economic units in any system are,trade  industry and banking,workers  consumers and shareholder,households  firms and government,companies  industry and plants,C
63,If tax takes a larger proportion of the income of people with 	lower income  the tax is,progressive,proportional,regressive,ad-valorem,C
64,The reward of capital as a factor of production is,rent,wage,interest,commission.,C
65,Which of the following tools of economic analysis is used when data contains more than one category?,Bars charts,Component bar charts,Graphs,Symbolical statement,B
66,If tax takes a larger proportion of the income of people with 	lower income  the tax is,progressive,proportional,regressive,ad-valorem,C
67,The act of selling goods in foreign markets at prices below those charged at home markets is called,exchange,specialization,dumping,exporting,C
68,In national income accounting  tax is determined by the,level of  income,level of investment,level of consumption,rate of savings,A
69,If  MPC is 0.7 while government expenditure increased by N= 150m  the equilibrium national income is,N= 214 million,N= 105 million,N= 45 million,N= 500 million,B
70,The act of selling goods in foreign markets at prices below those charged at home markets is called,exchange,specialization,dumping,exporting,C
71,Given that fixed cost is N500.00  Variable cost is N1 500.00 and output is 40 units  what will be the average cost of producing one units? ,N12.50.00 ,N50.00 ,N37.50 ,N500.00,B
72,In a capitalist society  production and consumption are regulated by the: ,demand for the commodity ,the government  ,price system  ,private individuals ,C
73,Which of the following is an advantage of  localization of industry?,Development of subsidiary firms,Creation of parallel markets,Development of slums,Attraction of foreign capital,A
74,Which of the following is not a trade union in Nigeria?,Nigerian Labour Congress,Academic Staff Union of Universities,Nigerian Economic Society,Nigerian Union of Journalists,C
75,In a capitalist society  production and consumption are regulated by the: ,demand for the commodity ,the government  ,price system  ,private individuals ,C
76,Which of the following is not true about land?,The supply is fixed,Land is mobile,It is subject to diminishing returns,Land is heterogeneous,B
