Order,Question,A,B,C,D,answer
1,In the federal system _____ levels of government exist,5, 4,3 ,2,F
2,The list on which both the federal and state makes laws is called the ___________,exclusive,concurrent list,residual list,enumerated list ,B
3,One of the things cooperation can lead to is ____________,strength,increase of population,goal achievement,increase in size,C
4,The arms of government which interprets the law is   _____,executive,judiciary,legislative,political parties  ,B
5,Various products at competitive prices make buyers to _________,shy away from buying anything,have choices  ,complain of too many products ,become sales persons,B
6,Absence of contentment can lead to  _____,humility,corruption,legitimacy,greatness ,B
7,The principle rule of law include the following except.,Principle of equality,Principle of partiality,Principle of individual right  ,Principle of impartiality,B
8,One of the consequence of indiscipline is   ____________,progress ,trust ,lateness,cooperation,C
9,A Law abiding citizen is one who _______,Goes to court each day in the society,is a lawyer,keeps and obeys the rules and regulations of the society,see law books and materials.,C
10,The chief executive of local government is    ____________,councilor,honourable,governor,chairman,D
11,In the federal system _____ levels of government exist,5, 4,3 ,2,F
12,In the united states of America  the organ that makes laws is called the___________,congress,parliament,national assembly,none of the above,A
13,One of the following is an example of civil offence,bribery,corruption,examination malpractice,sanitation offence ,D
14,_____ means the quality of being honest and having strong moral principles,honesty,dishonesty,integrity,discipline ,C
15,All except one is the attribute of integrity,honesty,fair play ,truthfulness,cheating ,D
16,Which of the following are the symbols  not recognized in Nigeria?,state religion,national flag,national coat of arm ,national anthem,A
17,Which of the following agencies is not concerned with fighting corruption in Nigeria,SSS	,EFCC ,NGO,ICPC,C
18,The rule of law is also known as supremacy of _______________,Law ,Leaders,Lawyer ,Justice  ,A
19,There are ____ local government areas in Nigeria,774,775,776 ,777,A
20,A consumer must speak out and take action so as not to be ________,elevated,exploited,praised,victorious,B
21,The process of counting citizens of a country officially is called ____________,census,numbering,by election ,referendum ,A
22,Civic education teaches _____,how to fight,intolerance,injustice,moral values ,D
23,The basic rights of individuals in the society include the following EXCEPT freedom of,association,expression,revenge,fair hearing,C
24,The arms of government are judiciary  legislature and ____________,senate,house of representative ,president ,executive,D
25,The arms of government are judiciary  legislature and ____________,senate,house of representative ,president ,executive,D
26,Taking care of a school environment is _____,an aspect of discipline,what school authorities demand of pupils ,a good opportunity to show lack of home training,an aspect of careless activity,A
27,Civic education teaches _____,how to fight,intolerance,injustice,moral values ,D
28,All these are included in the enumerated list except _____________,aviation,currency ,security,chieftaincy,D
29,The number of states in Nigeria are __________,31,36,35,37,B
30,The following are qualities of a good citizen  except  __________,Hard work,Punctuality,Patriotism,Partiality ,D
31,In the united states of America  the organ that makes laws is called the___________,congress,parliament,national assembly,none of the above,A
32,One of the things cooperation can lead to is ____________,strength,increase of population,goal achievement,increase in size,C
33,Free flow of truthful information in the market place is a feature of ______,consumer goods,consumer protection,retailers,producers,B
34,One of the following is an example of civil offence,bribery,corruption,examination malpractice,sanitation offence ,D
35,One of the things cooperation can lead to is ____________,strength,increase of population,goal achievement,increase in size,C
36,All except one is the attribute of integrity,honesty,fair play ,truthfulness,cheating ,D
37,There are ____ local government areas in Nigeria,774,775,776 ,777,A
38,Civic education teaches _____,how to fight,intolerance,injustice,moral values ,D
39,In the federal system _____ levels of government exist,5, 4,3 ,2,F
40,An example or people of integrity in Nigeria includes _____,Professor Mrs. Dora Akunyili,Anini,Clifford Orji,Mr. Oyenusi,F
41,When the national flag is flown at half mast  it is a sign of _________,national education,national mourning,national consciousness ,Nigerian independence ,B
42,The rule of law is also known as supremacy of _______________,Law ,Leaders,Lawyer ,Justice  ,A
43,The quality of being useful or important is called ______________,integrity,value,tolerance,unity,B
44,______ is termed to mean enforcing obedience in a society,studying,teaching,discipline,A and D,C
45,When the process of amending a constitution is difficult  it is said to be  __________,Confederal,Unwritten,Rigid,Written,C
46,All of the following promote good value system except  ______________,consistency ,trust,intolerance,commitment,C
47,The first case of Ebola was reported in Nigeria was in____,Lagos ,Ibadan,Abuja  ,Anambra   ,A
48,The national assembly in Nigeria comprises ______ and _____ chamber,chief  emirs,common  lord,lower  upper,senate  representatives,C
49,The act of exercising boldness is known as  ____________,confidence ,courage ,endurance,out spoken,B
50,One of the characteristics of a federation is    ____________,the separation of power,no constitution,no division of government power,all of the above ,A
51,The list on which both the federal and state makes laws is called the ___________,exclusive,concurrent list,residual list,enumerated list ,B
52,The primary duty of government is to ____________,conduct elections,protect lives and properties,jail offenders,obtain foreign loans ,B
53,The following provides security services to the nation except________,Army,police,SSS,NGO  ,D
54,Taking care of a school environment is _____,an aspect of discipline,what school authorities demand of pupils ,a good opportunity to show lack of home training,an aspect of careless activity,A
55,A system of government where power is shared between the central and the subordinate state is called,unitary government ,federation,republican,democracy ,F
56,The primary duty of government is to ____________,conduct elections,protect lives and properties,jail offenders,obtain foreign loans ,B
57,The arms of government which interprets the law is   _____,executive,judiciary,legislative,political parties  ,B
58,A system of government where power is shared between the central and the subordinate state is called,unitary government ,federation,republican,democracy ,F
59,The arms of government which interprets the law is   _____,executive,judiciary,legislative,political parties  ,B
60,Greed is one of the effects of lack of ______,contestant,commitment,confession,contentment ,F
61,In Nigeria  the government at the central is called __________,federal,high,state,local ,A
62,In the federal system _____ levels of government exist,5, 4,3 ,2,F
63,The arms of government are judiciary  legislature and ____________,senate,house of representative ,president ,executive,D
64,All of the following promote good value system except  ______________,consistency ,trust,intolerance,commitment,C
65,One of the following is a responsibility of a consumer,speak out,safety ,information,choice ,A
66,The act of exercising boldness is known as  ____________,confidence ,courage ,endurance,out spoken,B
67,One of the things cooperation can lead to is ____________,strength,increase of population,goal achievement,increase in size,C
68,A consumer must speak out and take action so as not to be ________,elevated,exploited,praised,victorious,B
69,The quality of being useful or important is called ______________,integrity,value,tolerance,unity,B
70,The state ministers are manned by state commissioners who report to the __________,president,local government chairman,governor,none of the above,C
71,An example or people of integrity in Nigeria includes _____,Professor Mrs. Dora Akunyili,Anini,Clifford Orji,Mr. Oyenusi,F
72,Product labeling and advertisement should have,correct information,misleading information,fake ,false information,A
73,One of the following is a responsibility of a consumer,speak out,safety ,information,choice ,A
74,Free flow of truthful information in the market place is a feature of ______,consumer goods,consumer protection,retailers,producers,B
75,All except one is the attribute of integrity,honesty,fair play ,truthfulness,cheating ,D
76,One of the attributes of contentment is  ____________,satisfaction,envy,greed,corruption,A
77,An example or people of integrity in Nigeria includes _____,Professor Mrs. Dora Akunyili,Anini,Clifford Orji,Mr. Oyenusi,F
78,Free flow of truthful information in the market place is a feature of ______,consumer goods,consumer protection,retailers,producers,B
79,The act of exercising boldness is known as  ____________,confidence ,courage ,endurance,out spoken,B
80,Discipline means  ____________,respect for legal authority ,attitude of doing the right thing at the right time ,exercise of patience,ability to retard one’s integrity,B
81,Which of the following agencies is not concerned with fighting corruption in Nigeria,SSS	,EFCC ,NGO,ICPC,C
82,In the united states of America  the organ that makes laws is called the___________,congress,parliament,national assembly,none of the above,A
