Order,Question,A,B,C,D,answer
1,The dominant literary device used in the passage is,litotes,personification,simile,paradox,B
2,In the society of Nwokocha Agbadi  a man’s social rating determined by his,oratorical power,physical prowess,gentle men,altruistic actions,B
3,The tone or mood of the speaker in the poem is:  ,neutral  ,angry  ,happy  ,sad ,D
4,Mama comes home and announces that she has put a down payment on a house with some of the,Lawyers,Insurance money,Savings,Agents,B
5,The technique employed in narrating the excerpt above is,flashback,stream of consciousness,foreshadowing,play-within-the-play.,B
6,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
7,An expression that signifies a whole through its significant parts is,synesthesia,synecdoche,metonymy,allegory,B
8,An extended fictional narrative which is realistic is known as a,Diary,Novel,Novella,Short story,B
9,The play is mostly written in,blank verse,free verse,metres,foot,A
10,A short witty statement is an ,epistle ,eulogy,epigram ,anecdote,C
11,The rhyme scheme is,aabbccddeeff,ababababaabb,abcaabbcabab,abbaabcaabab,A
12,The speech made at the end of a dramatic performance is generally called,A prologue,An epilogue,A dirge,A monologue,B
13,While assisting Marry  Bigger experiences mixed feelings of,Stubbornness and greatness,Admiration and hate,Surprise and shock,Jealousy and avarice,B
14,"That that is why we must acc-c-cept the universal d-d-dome  b-b-because there is no d-d-d-direction  The b-b-bridge is the d-d-dome of religion and b-b- bridges d-don't just g-g-go from here to the there; a bridge also face backwards". Wole Soyinka  The Interpreters. The idiolectical feature of the character's speech is the ,repetition of consonant sounds ,repetition of initial consonant sounds ,duplication of consonant sound clusters ,multiplication of diphthongs.,C
15,Laboratory tests have nothing to show. This expression is an example of,Metaphor,Personification,Irony,Metonymy,B
16,The tone or mood of the speaker in the poem is:  ,neutral  ,angry  ,happy  ,sad ,D
17,A poem written on a grand theme  in an appropriately grand style  dealing  with heroic figures is called ,an epigram  ,an epic ,a soliloquy ,heroic poem,B
18,As literacy form the short  story is most closely related to ,the discourse ,the novel  ,story telling  ,poetry ,B
19,In Masizi Kunene’s “A Heritage of Liberation; this season’ refers to the period of: ,oppression ,freedom  ,migration  ,resettlement,B
20,The language used  in Eliot’s ‘The Journey of the’ Magi is generally,difficult,complex,simple,complicated.,C
21,In Leopold Sedar Senghor's "I will pronounce Your Name" Naeth represents ,Africa ,Senegal ,the poet's mother ,the poet's lover.,B
22,The rhyme scheme is,aabbccddeeff,ababababaabb,abcaabbcabab,abbaabcaabab,A
23,The speaker is,Lago,Cassio,Othello,Desdemona,C
24,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
25,In the poem "Birches" the narrator looks at the borch trees in the forest and imagines that their bent nature is as a result of a ____________ "swinging" on them,Monkey,Child,Boy,Man,C
26,A dirge is a poem sung,to send a child to sleep,to make workers happy,at a birthday party,at a funeral,D
27,In the poem "Birches" the narrator looks at the borch trees in the forest and imagines that their bent nature is as a result of a ____________ "swinging" on them,Monkey,Child,Boy,Man,C
28,As literacy form the short  story is most closely related to ,the discourse ,the novel  ,story telling  ,poetry ,B
29,An expression that signifies a whole through its significant parts is,synesthesia,synecdoche,metonymy,allegory,B
30,Kofi Awoonors. The Anvil and the Hammer. The dominant imagery used in the poem is,Dress-making,New life,Tradition and modernity,Flags,A
31,This extract is an example of  ,dirge  ,satire  ,ode  ,sonnet,A
32,In William Blake's poem "The school boy"  the mental picture created in the mind of the reader is of a,Man ,Little boy,Little girl,Woman,B
33,The central conflict in the play is about  ,Lawyer Bonu’s attempt to seduce Maanan  ,career choice for James Ofosu’s children  ,Hannah’s lack of respect for James  ,Fosuwa’s bid to force Lawyer Bonu on Maanan,B
34,The name of the author of "We Must Learn to Fly" is: ,Dennis Brutus ,Leopold Sedar Senghor ,Odia Ofeimun ,Wole Soyinka.,C
35,What eyes will watch our large mouths? What ear to our pitiful anger  what heart will listen to our clamoring? Illustrate,Irony,Metonymy,Synecdoche,Fable,C
36,The poet personal in the poem above is: ,resigned to fate  ,a holy man  ,a daily traveler  ,suffering but optimistic. ,D
