Order,Question,A,B,C,D,answer
1,The market consisting  of  a  network  of  dealers  where 	currencies can be bought and sold is known as,capital market,foreign exchange market,commodity market,the stock market,B
2,In national income accounting  tax is determined by the,level of  income,level of investment,level of consumption,rate of savings,A
3,Cost push inflation is caused by a,rise in the cost of production,decrease in the transportation cost,rise in demand for goods,decrease in the cost of production,C
4,The number of people who are qualified to work and who offer themselves for employment are called,migrant labour,working population,labour turnover,mobility of labour,B
5,A commodity is said to be price inelastic if  ,Changes in the quantity purchased of a good is less than proportionate changes in its price  ,Changes in the quantity purchased of a good is proportional to changes in its price  ,Changes in the quantity purchased of a good is more than proportionate changes in its price  ,The quantity purchased of a good never responds to change in its price.,A
6,When population is classified according to professions  it is called,geographical distribution of population,age distribution of population,sex distribution of population,occupational distribution of population,D
7,Assuming the total population is 100 million  the civilian labour force is 50 million and 47 million workers are employed  the unemployment rate is ,3%,6%,7%,5.30%,B
8,Which of the following does not explain why a school principal earns more salary than a school messenger?,Length of training,Demand and Supply,Cost of training,The messenger is a non-teaching staff,B
9,The market consisting  of  a  network  of  dealers  where 	currencies can be bought and sold is known as,capital market,foreign exchange market,commodity market,the stock market,B
10,When population is classified according to professions  it is called,geographical distribution of population,age distribution of population,sex distribution of population,occupational distribution of population,D
11,Which of the following is not true about land?,The supply is fixed,Land is mobile,It is subject to diminishing returns,Land is heterogeneous,B
12,The reason for the law of demand can best be explained in terms of: ,supply ,complementary goods ,the rationing function of price ,diminishing marginal utility.,D
13,Private and public limited liability companies are not the same because  ,Former is limited to fifty shareholders but not the later  ,both are not legal entities  ,Former is established secretly but latter is located in central places  ,Former is managed by board of directors but latter is managed by board of management.,A
14,in developing countries  governments influence the location of  industries in order to,spread development,encourage entrepreneurs,redistribute wealth,encourage industries to earn high profits,A
15,West  African   countries  have  low  levels  of  economic 	development due to,underpopulation,inadequate labour,failure to plan,ineffective plan implementation,B
16,Where the burden of a tax finally rest is called,tax object,tax rate,incidence of taxation,system of taxation.,C
17,Which of the following does not explain why a school principal earns more salary than a school messenger?,Length of training,Demand and Supply,Cost of training,The messenger is a non-teaching staff,B
18,The act of selling goods in foreign markets at prices below those charged at home markets is called,exchange,specialization,dumping,exporting,C
19,The responsiveness of demand to a change in income is the measurement of,foreign exchange rate,cross elasticity of demand,income elasticity of demand,price index elasticity,C
20,A drawer of a cheque is the ,person who is to be paid ,bank on which the cheque is drawn ,person who writes out the cheque ,bank official who certifies the payment. ,C
21,A drawer of a cheque is the ,person who is to be paid ,bank on which the cheque is drawn ,person who writes out the cheque ,bank official who certifies the payment. ,C
22,Investment and saving are  respectively: ,income and wealth ,stock & flows ,injection: and leakages ,leakages and injections:,C
23,What implication does resources scarcity have for the satisfaction of wants?,not all wants can be satisfied ,we will never be faced with the need to make choice ,we must develop ways to decreases our individual wants ,the discovery of new resource.,A
24,Price discrimination exists when  ,The same product of the same quality is sold for different prices of the same buyer  ,The same product of the same quality is sold for different prices to different buyers  ,Different products are sold for the same price to the same buyers  ,Different products are sold for the same price to different buyers.,B
25,Government can control inflation by,printing more money,reducing the rate of taxes,reducing the level of expenditure,establishing more banks,C
26,The market price of a commodity is normally determined by the,law of demand,interaction of the forces of demand and supply.,total number of people in the market,total quantity of the commodity in the market.,B
27,A production possibility curve shows ,how much of the resources of society are used to produce a particular commodity ,the rate of inflation ,the rate of unemployment in the economy ,the various combination of two commodities that can be produced.,D
