Order,Question,A,B,C,D,answer
1,An agreement between two parties which will give rise to enforceable rights and obligation is known as,a warrant,a contract,a consideration,an offer,B
2,The main objective of a trade association is to ,protect is members against litigation ,boost the trade of its members ,secure credit for its members ,protect its members against victimization ,D
3,The sustainable growth of commerce is largely due to ,marketing   ,advertising,exchange ,branding.,C
4,The major dealers on the stock market are the ,agents ,jobbers ,investors ,brokers,D
5,The abbreviation C &amp; F indicates that the,production cost excludes the cost of carriage,selling price includes the cost of carriage,cost of production includes delivery charges,cost price includes the cost of carriage.,B
6,The practice whereby soft drink manufacturers give away caps  bags and other items when consumers buy their product is a 		form of,marketing strategy,publicity,advertising,sales promotion.,D
7,The pivot on which the wheel of commerce rotates is,tariff,trade,taxation,price.,D
8,A printed copy of processed information from the computer is the ,soft copy ,file copy ,scanned copy ,hard copy ,D
9,A number of shops under one roof is the feature of a,supermarket,chain store,department store,mail order business,C
10,A predominant mark-up language for web pages is ,IP,HTTP,HTML,TCP,C
11,Commercialization of government corporations brings about an increase in the level of,money supply in the economy,distrust among business operators,competition among business operators,social responsibility,C
12,Platinum Habib Bank Plc. is an example of __ bank.,central,commercial,development,merchant,B
13,The association that comprises all types of businesses is referred to as, chamber of commerce   , trust,trade association   , cartel.,A
14,A documentary bill will normally be accompanied by,sales invoice  bill of lading and insurance certificate,clean bill  bill of lading and insurance certificate,bill of lading  consular invoice and insurance certificate,consular invoice  FOB certificate and bill of  lading.,D
15,A number of shops under one roof is the feature of a,supermarket,chain store,department store,mail order business,C
16,The  lumbering of trees by a furniture company is an example of,primary production,secondary production,tertiary production,Indirect production,A
17,Which of the following is a form of sales promotion?,Promotion through radio,Advertising by television,Distributing printed sales literature,Offering free samples to customers,D
18,A number of shops under one roof is the feature of a,supermarket,chain store,department store,mail order business,C
19,Assurance is different from insurance in that the former is based on ,probability ,possibility ,risk ,uncertainty ,B
20,The coming together of two or more firms at different stages of production is,horizontal merger,vertical merger,amalgamation,cartel,B
21,One of the major functions of a chamber of commerce is to,promote and protect trade  industry and agriculture,advise members on regulations of other countries,settle disputes that arise out of trade,publish books and periodicals desired by members.,A
22,The role of a wholesaler in the channel of distribution is to    ,produce goods in large quantities and sell in small quantities ,buy goods directly from the manufacturers,buy good in large quantities and sell in small quantities,sell goods directly to the consumers ,C
23,One of the main objectives of the Second- tier Securities Market in Nigeria is to,achieve a realistic exchange rate for the naira,eliminate currency  dealings in the black market,assist companies to raise capital,attract investment flow.,D
24,How much was the trade discount?,N42 500,N27 500,N22 500,N20 000,A
25,The instrument used in the capital market is ,treasury bill ,bill of exchange ,stock ,debenture ,C
26,Tourism can be classified as , tangible import, intangible import, visible export ,invisible export,D
27,A number of shops under one roof is the feature of a,supermarket,chain store,department store,mail order business,C
28,The first known legislation to protect consumer rights in Nigeria is the,Usury Laws,Hire Purchase Act,Sale of Goods Act,Food and Drugs Act.,C
29,Proper disposal of waste by business firms is one way of discharging their,responsibility to government,environmental responsibility,community responsibility,responsibility to customers.,B
30,The components of capital employed in a business are ,owners’ equity and long-term debts ,total assets and current liabilities ,share capital and long-term debts,share capital and current liabilities.,B
31,Hire purchase is beneficial to the seller because, it enhances his living standard ,it increases his turnover ,people pay instalmentally, of the patronage he enjoys.,B
32,Which of the following is a form of sales promotion?,Promotion through radio,Advertising by television,Distributing printed sales literature,Offering free samples to customers,D
33,The wealth of a nation depend on the volume of its,bilateral trade activities,commercial activities,multilateral trade activities,stock market,B
34,A shop which consists of many stores trading under a single roof and which stocks varieties of gods with each unit having its own head is a ,multiple shop  ,supermarket ,superstore,departmental store.,D
35,The coming together of two or more firms at different stages of production is,horizontal merger,vertical merger,amalgamation,cartel,B
36,The agency in Nigeria which ensures that products conform to government quality specifications is the,Standards Organization of Nigeria,Nigerian Consumers’ Association,Manufacturers’ Association of Nigeria,Nigerian Chamber of Commerce.,A
37,The transformation of cotton into clothing is an example of,secondary production,tertiary production,primary production,direct production,A
38,The abbreviation C &amp; F indicates that the,production cost excludes the cost of carriage,selling price includes the cost of carriage,cost of production includes delivery charges,cost price includes the cost of carriage.,B
