Order,Question,A,B,C,D,answer
1,An element X with relative atomic mass 16.2 contains two isotopes      X  with relative abundance of 90% and      X with relative abundance of 10%. The value of m is,16,18,12,14,B
2,Which of the following is used as fuel in miners’ lamp,Ethyne,Ethane,Ethane,Ethanol,A
3,In the electrolysis of brine  the anode is,Platinum,Copper,Zinc,Carbon,D
4,Which of the following is a physical change,Burning kerosene,Freezing ice-cream,Exposing white phosphorus to air,Dissolving calcium in water,B
5,Which of the following metals burns brick with a brick-red,Pb,Ca,Na,Ma,B
6,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
7,The ion that will give a white precipitate with aqueous NaOH and soluble in excess of the base is,Zn2+,Mg2+,Ca2+,Cu2+,A
8,Which of the following is used as fuel in miners’ lamp,Ethyne,Ethane,Ethane,Ethanol,A
9,Substances employed as drying agents are usually,Hygroscopic,Efflorescent,Acidic,Amphoteric,A
10,One heating may be produced by shaking a detergent solution with,Cu(NO3)2,AgNO3,Ca(NO3)2,NaNO3,B
11,Stainless steel is used for making,Tools,Coins and medals,Moving parts of clocks,Magnets,A
12,Milikan’s contribution to the development of atomic theory is the determination of,Charge on electron,Positive rays,Charge to amss ratio,Cathode rays,C
13, Alkanol + Alkanoic acid ⇌  Ester + water.
The reverse reaction of the equation above is known as
,Hydrolysis,Saponification,Hydration,Fermentation,A
14,The property of chlorine which causes hydrogen chloride to be more ionic than the chlorine molecule is its,Electrovalency,Electron affinity,Electropositivity,Electronegativity,D
15,Ordinary glass is manufactured from silica  Ca CO3 and,K2CO3,NaHCO3,Na2CO3,K2SO4,C
16,The gas that can best be collected by downward displacement of air is,Chlorine,Sulphur(IV)oxide,Ammonia,Carbon(IV)oxide,C
17,When sulphur (IV) oxide is passed into a solution of sodium hydroxide for a long time. It eventually produces a solution of,Na2SO4,NaHSO4,Na2SO3,NaHSO3,D
18,The formula CH2O for ethanoic acid is regarded as its,General formula,Structural formula,Molecular formula,Empirical formula,D
19,Carbohydrates are compounds containing carbon  hydrogen and oxygen in the ratio,3:01:01,2:01:01,1:02:01,1:01:01,C
20,It is difficult to achieve an orderly arrangement of the molecules of a gas because they,Have no definite shape,Have little force attraction between them,Can collide with one another in the container,Are too small in size,B
21,The compound that is used as an anaesthetic is,CHCI3,CH2C2,CH3CI,CCI4,A
22,Coffee stains can best be removed by,Turpentine,A solution of borax in water,Ammonia solution,Kerosene,B
23,The stability of the noble gases is due to the fact that they,Have duplet or octet electron configurations,Belong to group zero of the periodic table,Are volatile in nature,Have no electron in their outermost shells,A
24,Carbohydrates are compounds containing carbon  hydrogen and oxygen in the ratio,3:01:01,2:01:01,1:02:01,1:01:01,C
25,Milikan’s contribution to the development of atomic theory is the determination of,Charge on electron,Positive rays,Charge to amss ratio,Cathode rays,C
26,Which of these reagents can confirm the presence of a triple bond,Bromine water,Acidified KMnO4 ,Copper (I) chloride,Bromine gas,C
27,Which of these reagents can confirm the presence of a triple bond,Bromine water,Acidified KMnO4 ,Copper (I) chloride,Bromine gas,C
28,In the electrolysis of brine  the anode is,Platinum,Copper,Zinc,Carbon,D
29,It is difficult to achieve an orderly arrangement of the molecules of a gas because they,Have no definite shape,Have little force attraction between them,Can collide with one another in the container,Are too small in size,B
30,What mass of water is produced when 8.0g of hydriogen reacts with excess oxygen [H = 1  O = 16],36.0g,8.0g,72.0g,16.0g,C
31,The produce of the combustion of candle wax are,Carbon(IV) oxide and water,Oxygen and water,Hydrogen and water,Carbon(II)oxide an d water,A
32,Which of the following metals burns brick with a brick-red,Pb,Ca,Na,Ma,B
33,The pollution from petroleum spillage in rivers and lakes can best be dispersed by,Pouring detergents,Passing of ships through the area,Pouring organic solvents,Evaporation,A
34,A degree in atomic size and an increase in knuckler charge across a period lead to,A decrease in covalency in bond formation,An increase in chemical reactivity,An increase in the tendency to loss electrons,A decrease in electro positivity,D
35,The filter in a cigarette reduces the nicotine content by,Burning,Adsorption,Evaporation,Absorption,B
36,When a crystal was added to the clear solution of its salt  the crystal did not dissolve and the solution remained unchanged. This showed that the solution was,Supersaturated,Unsaturated,Saturated,Concentrated,C
37,The allotrope of carbon used in the decolourization of sugar is,Graphite,Soot,Charcoal,Lampblack,C
38,What mass of water is produced when 8.0g of hydriogen reacts with excess oxygen [H = 1  O = 16],36.0g,8.0g,72.0g,16.0g,C
39,Calcium Tetraoxosulphate(VI) dissolves in water only sparingly to form a,Solution,Suspension,Precipitate,Colloid,D
40,The formula CH2O for ethanoic acid is regarded as its,General formula,Structural formula,Molecular formula,Empirical formula,D
41,Natural water collected from rivers and ponds contains oxygen  carbon(IV) oxide and,Chlorine,Hydrogen,Sulphur(IV) oxide,Nitrogen,C
42,Which of the following statements is true of sulphur (IV) oxide,It forms Tetraoxosulphate (VI) acid with water,It is an odourless gas,It is an acid anhydride,It forms white precipitate with acidified barium chloride,C
43,When a crystal was added to the clear solution of its salt  the crystal did not dissolve and the solution remained unchanged. This showed that the solution was,Supersaturated,Unsaturated,Saturated,Concentrated,C
44,The compound that is used as an anaesthetic is,CHCI3,CH2C2,CH3CI,CCI4,A
45,H2(g)  +  Br2(g) →  2BHr(g)  The reaction above is carried out at 250C. If Δ H is kJ mol-1 and   Δ S is -106J mol-1K-1 the reaction will,Proceed spontaneously at lower temperatures,Not proceed spontaneously at the given temperature,Proceed spontaneously at the given temperature,[proceed in the reverse direction at the given temperature,D
46,Stainless steel is used for making,Tools,Coins and medals,Moving parts of clocks,Magnets,A
47,Carbon is tetravalent because,The electrons in both the 2s and 2p orbitals are equivalent,The electrons in all the orbitals of carbon are equivalent,The 2s and 2p atomic orbitals hybridize,All the atomic orbitals of carbon hybridize,C
48, N2O4(g)    ⇌  2NO2(g),A constant volume,An increase in pressure,A decrease in pressure, A decrease in volume,C
49,Water has the ability to dissolve almost all substances because its molecule has a structure with,One positive end and one neutral end,Two positive ends,One positive end and one negative end,Two negative ends,C
50,The postulate of Dalton’s atomic theory which still holds is that,Particles of different elements combine in a simple whole number ratio,Atoms can neither be created nor destroyed,The particles of the same element are exactly alike,All elements are made of small indivisible particles,A
51,In the preparation of oxygen by heating KCIO3 in the presence of MnC2  only moderate hear is needed because the catalyst acts by,Increasing the surface area of the reactant,Increasing the rate of the reaction,Lowering the energy barrier of the reaction,Lowering the pressure of the reaction,C
52,When ΔH is negative  a reaction is said to be,Ionic,Reversible,Exothermic,Endothermic,C
53,When sulphur (IV) oxide is passed into a solution of sodium hydroxide for a long time. It eventually produces a solution of,Na2SO4,NaHSO4,Na2SO3,NaHSO3,D
54,What volume of 0.5mol dm-3 H2SO4 will exactly neutralize 20cm3 of 0.1 mol dm-3 NaOH solution,2.0cm3,5.0cm3,6.8cm3,8.3cm3,A
55,In which of the following is the entropy change positive,Reaction between an acid and a base,Addition of concentrated acid to water,Dissolution of sodium metal in water,Thermal dissociation of ammonium chloride,C
56,The formula CH2O for ethanoic acid is regarded as its,General formula,Structural formula,Molecular formula,Empirical formula,D
57,In which of the following is the entropy change positive,Reaction between an acid and a base,Addition of concentrated acid to water,Dissolution of sodium metal in water,Thermal dissociation of ammonium chloride,C
58,The filter in a cigarette reduces the nicotine content by,Burning,Adsorption,Evaporation,Absorption,B
