Order,Question,A,B,C,D,answer
1,Conflicts can be resolved by the following except,Adjudication,Appointing an intermediary,Propaganda,Dialogue,C
2,The following are functions of studies except,Enables us to understand our culture,Encourages our participation in social and civic duties,Helps us to understands our environment,Makes us to know how to fight our enemies,D
3,Which is not one of the advantages of living together in a family,Adam & Eve,Good social behaviour,Togetherness,Friendship,A
4,A family which is made up of a man his wife and children is called,Compound,Extended,Nuclear,Monogamous,C
5,All of these are examples of harmful substances except,Expired food,Natural fruits,Infected food,Rotten food,B
6,Which of these is an example of a primary social group,Church,Family,Market,School,B
7,Social studies can best be defined as the study of______,How man produces what he wants,Man and his environment,Man and his family,What man passes through in life,B
8,Classmates  coursemates are typical examples of a_____ social group,Tertiary,Secondary,Primary,Preschool,B
9,Road safety is an agent of socialisation that is responsible for trafficking and saving of life,False,I don't think so,True,Agree,A
10,The process of learning which take place through interaction and enables the individual to know about a society is called______,Culture,Religious organization,Adoption,Socialisation,D
11,Families that live together are usually ______ in the society,Rejected,Respected,Inculcated,Avoid,B
12,A good citizen should exhibit all the following except,Honest,Integrity,Selfishness,Tolerance,C
13,A male child of one's uncle is called,Nephew,Cousin,Niece,Daughter,A
14,National youth corps members are_____,Serving their selfish interest,Serving their father,Serving their fatherland,Serving the states where they come from,C
15,A man and woman are joined together in _____ except,Marriage,Unicorn,Union,Unity,B
16,Classmates  coursemates are typical examples of a_____ social group,Tertiary,Secondary,Primary,Preschool,B
17,One of the effects of cultism is _____,It destroys one future,Keeps one in high position,You command respect,All of the above,A
18,What is the best for a rape victim,Need counseling,Must be rejected by the society,Must be sent to an entrepreneur ,Must go to jail,A
19,Who among these conducts the court marriage,Senor local government,Imam,Pastor,Vicar,A
20,Social studies indicates the right types of ______ in us,Values,Danger,A&B,None of the above,A
21,The study of man in a relation to his environment is a primary concern of ______,Business studies,Christian religion study,Islamic studies,Social studies,D
22,A family consists of____ _____ and _____,Father  Mother and Sister,Father  Mother and Children,Father's  Mother's and Children's,None,B
23,Which of these is the most important reason for marriage?,Companionship,Love making,Recognition in the society,Having more hands on the farms,A
24,The physical environment consist of the following except,Land and water,Vegetation and mineraln,Natural and man made,Settlement and cities,D
25,The drug sold at recognised pharmacy and normally recommended by pharmacists are,Fake drugs,Illicit drugs,Expired drugs,Licit drug,D
26,Rape is another name for,A. Sex abuse,B. Sex enjoyment ,C. Sex release,D. Sex by gay people ,A
27,Which of the following subjects brings all experience of society together by way of interrelationship?,Business studies,Geography,Social studies,History,C
28,Which of the following is true? Those who steal______,Make good friends,Become suspect at every instance of theft,May get arrested,Are always respected as dealer,C
29,Which of the following is not a feature of natural environment?,Hills,Hospital,Valley,Rivers,B
30,How many times of marriage do we have?,2,3,4,5,B
31,Which of the following is an examples of voluntary organisation,Police,Navy,Scout,Marine,C
32,Social and physical environment are good examples of _____ agent of socialisation,Community,Family,Playmates,Housemates,A
33,Peace in the society leads to the following except,Development,Diversity,Unity,Greater achievement,B
34,Good family reputation gives _____ to member of the family,Great faith,Company,Good game,Good name,D
35,You will marry when you are of age because of ______,Procreation,Companionship,Continuation of the family lineage,All of the above,D
36,419 is also know as,Gbajue,Advanced fee fraud,Advancement fraud,Advance fee fraudsters,B
37,Socialisation is all about cultures and values,Agree,Strongly agree,Disagree,Disabled,C
38,Which of these is the main socializing agent of the child in the early years?,The mother alone,The playmates,The family,The teacher,C
39,One of these is not an agent of socialisation?,Peer group,Occult group,Formal educational institutions,Mass media,B
40,The following are causes of conflicts except,Corporation,Greed,Selfishness,Religious intolerance,A
41,Which year did Nigeria became a republic,1960,1963,1962,1961,B
42,Road safety club was supported by _____,Volunteers,Government,Organisation,,B
43,Which is not one of the advantages of living together in a family?,Disagreement,Good social behaviour,Togetherness,Friendship,A
44,Cultism in our society today can best be controlled by ______,Moral studies,Prayer,Killing,Nativity,A
45,419 is also know as,Gbajue,Advanced fee fraud,Advancement fraud,Advance fee fraudsters,B
46,______ is responsible for arresting those that traffic drugs,EFCC,ICPC,NDLEA,NAPEP,C
47,A good citizen does one or all of the following,Pay his rate and tax demanded by government,Obey constituted authories,Shun bad behaviour,All of the above,D
48,Examination malpractices is part of the social problems,True,False,True/False,None,A
49,Good family reputation gives _____ to member of the family,Great faith,Company,Good game,Good name,D
50,Social studies can be learned through these means except,Conflict,Discussion,Observations,Research,A
51,Families that live together are usually ______ in the society,Rejected,Respected,Inculcated,Avoid,B
52,One of the following is not what a good citizen should do,Pay his rates and taxes demanded by government,Obeys constituted authority,Shun bad behaviour,Contribute to vandalism and destruction of the country,D
