Order,Question,A,B,C,D,answer
1,The Yoruba, Edo, Nupe, and Ibo languages are classified as belonging to the  ,Arabic  ,Kwa-sub group  ,Kaw sub group  ,Kai sub group ,B
2,Songhai Empire fell in... ,1591,1691,1791,1891,A
3,The Sokoto Jihad led to the formation of Islamic States in following States except  ,Senegal  ,Mali  ,Chad  ,Togo ,D
4,In the pre-colonial Igbo political system, which of the following was the most democratic organ of government,The Umand ,Eze  ,Isu  ,Ohanaeze,D
5,In Yorubaland, the concept which derived mainly from the wave of dispersal that attended the process of state formation is known as,Omo iya  ,Ebi  ,Oduduwa  ,all of the above ,B
6,In the Oyo traditional political system, the Alaafin of Oyo was elected or chosen by a group known ,Ogbon,Oyo Mesi ,Baale,Ohanaeze,B
7,The Aro system in Igboland was a ,Political organisation  ,Commercial organisation  ,Religious organisation  ,Imperial organisation ,C
8,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
9,The ratification of the appointment and dismissal of an emir in the pre-colonial Fulani empire was done by,Emir of Kano  ,Emir of Sokoto  ,Emir of Gwandu  ,B & C,D
10,???. and slave raiding were complementary exercises among the Yoruba  ,farming  ,hunting  ,war  ,diplomacy ,C
11,Which of the following made the earliest contact with the Nigerian societies?  ,The Portuguese ,The Germans  ,The British ,The French,A
12,Be li   Af i a   o fe e e took pla e et ee  ,1884 and 1885  ,1885 and 1886  ,1886 and 1887  ,1883 and 1884 ,A
13,Lagos became the crown colony in  ,1914,1861,1886,29-Mar-05,C
14,The Lagos Colony and the Southern Protectorate of Nigeria were joined in the year ,1904,1906,1910,1914,B
15,The 1804 Jihad in Northern Nigeria could be referred to all except  ,Sokoto Jihad  ,Uthman Dan Fodiyo Jihad  ,Fulani Jihad  ,Seku Ahmadu Jihad ,D
16,The colonial government whose constitution introduced elective principle into Nigerian politics was  ,Arthur Richards  ,Fredrick Lugard  ,Hugh Clifford  ,John Macpherson ,C
17,In the traditional Hausa-Fulani political system, political authority was vested in the  ,Emir  ,Talakawa  ,Alkali ,Emirate Council ,A
18,Songhai Empire fell in... ,1591,1691,1791,1891,A
19,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
20,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
21,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
22,The Portuguese first visited Benin around  ,1485,1484,1486,1483,A
23,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
24,In the Oyo traditional political system, the Alaafin of Oyo was elected or chosen by a group known ,Ogbon,Oyo Mesi ,Baale,Ohanaeze,B
25,Be li   Af i a   o fe e e took pla e et ee  ,1884 and 1885  ,1885 and 1886  ,1886 and 1887  ,1883 and 1884 ,A
26,Ali Ghaji s  eig  e ded i  Ka e  Bo o in  ,1501,1502,1503,1504,D
27,Yoruba inter-state wars lasted for  ,16 years  ,10 years  ,100 years  ,50 years ,C
28,Archaeology findings in Ugbo-Ukwu are suggestive of rich  ,Agricultural potentials  ,cultural civilization  ,mineral deposit  ,all of the above ,B
29,Geographically, Nigeria lies between latitudes  ,40 and 140  ,4 and 100   ,140 and 4  ,all of the above ,A
30,The colonial government whose constitution introduced elective principle into Nigerian politics was  ,Arthur Richards  ,Fredrick Lugard  ,Hugh Clifford  ,John Macpherson ,C
31,The Ekitiparapo war lasted for  ,10 years  ,16 years  ,100years,50 years ,B
32,The Sokoto Jihad led to the formation of Islamic States in following States except  ,Senegal  ,Mali  ,Chad  ,Togo ,D
33,Lagos became the crown colony in  ,1914,1861,1886,29-Mar-05,C
34,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
35,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
36,When was the emirate system of administration introduced in Northern Nigeria? ,19th century ,20th century ,18th century  ,17th century ,C
37,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
38,The Lagos Colony and the Southern Protectorate of Nigeria were joined in the year ,1904,1906,1910,1914,B
39,Pre-colonial Igbo society was  ,centralised ,acephalous,feudal  ,capitalist ,B
40,The Portuguese first visited Benin around  ,1485,1484,1486,1483,A
41,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
42,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
43,The Head of the Sokoto Caliphate was known as  ,Sultan  ,Caliph  ,Emir  ,Alhaji ,B
44,The first independence day speech in Nigeria was given by??.,Muhammadu Buhari,Obafemi Awolowo,Tafawa Balewa,Nnamdi Azikwe,C
45,Which of the following titles among the Igbos in the pre-colonial era required substantial wealth before one could acquire it?,Obi  ,Eze  ,Ozo  ,Ofo ,C
