Order,Question,A,B,C,D,answer
1,The scientist that proposed the principles of gravity is,(a) Moses,(b)  Isaac Newton ,(c)  Plato,(d) Aristotle,B
2,​-------------------------is a state of not experiencing gravitational force,A.Asteroids ,B.comets, C.satelites,D. night ,D
3,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
4,The following forms part of the nine planets except,A. Neptune ,B. Venus,​C. Plato ,D. Jupiter,C
5,The following are characteristics of living things except,A. Expansion  ,B. feeding ,C. growth ,D.movement  ,F
6,​A way of reducing friction in the moving parts of a machine is by applying,A. bitumen ,B. diesel,C. grease,D.kerosine ,C
7,What type of energy does the sun give out?,(a) ​solar energy ,(b)  radiant energy ,(c)  kinetic energy ,(d)potential energy ,A
8,Which of these is not a class of food?,A. Carbohydrate ​,B. Fats and oils , C. glucose,D. Protein,C
9,​A way of reducing friction in the moving parts of a machine is by applying,(a) bitumen ,(b) diesel,(c) grease,(d)kerosine ,C
10,Which of these is not a major type of habitat?,   (a)Aquatic   ,b)Arboreal  ,c)Terrestrial ,d)Marine  ,D
11,The following are useful applications of friction except in, A. Belt drives, B.Brakes, C.Clutches,D.Slides,D
12,The full meaning of SHOC is ____,   (a)Safehandling of chemicals  ,b)Sit handling of chemicals  ,     (c)Start handling of chemicals  ,(d)Stem handling of chemicals.,A
13,Which of the following is a carbohydrate?, ​A. Mango,B. Meat, C. Okro ,D. Rice,D
14,The scientist that proposed the principles of gravity is,A. Moses.,​B. Isaac Newton​,C. Plato,D Aristotle,B
15,The revolution of the earth around the sun causes,A. day and night. ,B. distribution of radiant heat.,C. eclipse,D. seasons,D
16,Terrestrial habitat can further be divided into  ____,_____ and _____,a)Swamp, ocean and lagoon  ,      (b)Desert, swamp, and seas  ,c)Lakes, grassland and deserts   ,d)Deserts, grassland and rain forest,D
17,The revolution of the earth around the sun causes,A. day and night. ,B. distribution of radiant heat.,C. eclipse,D. seasons,D
18,The force of attraction which makes an object fall to the ground if not supported is,A. earth’s movement.,​​​B. earth’s attraction ​,C. earth’s gravitational attraction.,D. attraction of the masses.,C
19,On air or tree environment is also known as _____,Airy habitat   ,      b)Arboral habitat ,      (c)Arboreal habitat   ,  d)Jumping habitat,C
20,The force of attraction which makes an object fall to the ground if not supported is,A. earth’s movement.,​​​B. earth’s attraction ​,C. earth’s gravitational attraction.,D. attraction of the masses.,C
21,Water environment is also _____,(a)Aquarium, (b)Aqua  habitat  ,c)Aquatic habitant , (d)Liquid habitat,A
22,Examples of terrestrial organisms include all of the following except,(a)Earthworm, (b)Rats, (c)Lobsters,d)Man .,C
23,Which form of energy can a body possess by virtue of its position?,A. heat energy ,B. light energy,C. kinetic energy,D. potential energy,D
24,The force of attraction which makes an object fall to the ground if not supported is,A. earth’s movement.,​​​B. earth’s attraction ​,C. earth’s gravitational attraction.,D. attraction of the masses.,C
25,The following are useful applications of friction except in, A. Belt drives, B.Brakes, C.Clutches,D.Slides,D
26,The following are classes of food except,A. Carbohydrates  ,B. fats and oil,​C. glucose ,D. mineral salts,C
27,The transition stage of development is ______,Baby – childhood – Adulthood   , b)Childhood- Body –Adolescent –Adulthood ,  (c)Baby –Adulthood – Childhood –Adolescent,d)Adulthood – Adolescent –Baby –Childhood.,A
28,​A way of reducing friction in the moving parts of a machine is by applying,A. bitumen ,B. diesel,C. grease,D.kerosine ,C
29,Force is a product of,​A. distance and height of an object,B. mass and acceleration of an object,​C. length and breadth of an object,​D. mass and distance of an object,B
