Order,Question,A,B,C,D,answer
1,The i itial suggestio  to o pile the Qu a   as aised   ,A u Bak  ,Umar B. Khattab  ,Zaid B. Thabit  ,Uthman B. Affan  ,B
2,?eek k o ledge, e e  u to Chi a   ea s ____ ,go to China to seek knowledge  ,knowledge is found in China  ,go at any length to seek knowledge  ,knowledge must be sought in china   ,C
3,The spokesman of the Muslims before Emperor Negus was ,Jaafar  ,Al-As  ,Abu Musa  ,Masa Musa  ,A
4,The first place of Muslims ig atio   as ___,Abyssinia  ,Taif  ,Medina  ,Yathrib ,B
5,When Prophet Muhammad got to Yathrib, he had to first and foremost settle the feud between  ,Aws and Khazraj  ,banu Nadir and Mecca  ,Mecca and Medina ,Aws and Nadir  ,A
6,When Prophet Muhammad got to Yathrib, he had to first and foremost settle the feud between  ,Aws and Khazraj  ,banu Nadir and Mecca  ,Mecca and Medina ,Aws and Nadir  ,A
7,The final and total prohibition of intoxicants is contained in Surah  ,al-Baqarah  ,an-Nisa  ,al-Maidah  ,al- I a  ,C
8,Walam yakun lahu Kufuwan Ahadun is_____  ,the second ayat of the 112th surah  ,sixth ayat of the 111th surah  ,fourth ayat of the 112th surah ,seventh ayat of the 114th surah  ,C
9,Walam yakun lahu Kufuwan Ahadun is_____  ,the second ayat of the 112th surah  ,sixth ayat of the 111th surah  ,fourth ayat of the 112th surah ,seventh ayat of the 114th surah  ,C
10,Talaq al-,irrevocable ,revocable  ,impermissible  ,detestable ,A
11,Al-Tawrat was revealed to  ,Isa  ,Musa  ,Prophet Muhammad  ,Idris ,B
12,Ibadah refers to  ,worship of ancestors  ,worship of the Prophet  ,worship of the caliphs ,worship of Allah  ,D
13,Talaq al-,irrevocable ,revocable  ,impermissible  ,detestable ,A
14,The oa d gi e  to P ophet Muhad is the first  e elatio  of the Qu a  tells us about ____ ,education  ,prosperity  ,worship  ,Allah ,A
15,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
16,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
17,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
