Order,Question,A,B,C,D,answer
1,Discount Received Account is a,real account,personal account,nominal account,profit and loss account,C
2,The journal is a book ,of primary entry into which all transactions are entered before posting ,kept by journalist for reporting events ,of prime entry into which postings are made from the ledger  ,of analyzing major accounts,A
3,The cost of raw materials consumed is,GHc 58,000.,GHc 52,500.,GHc 52,000.,GHc 50,000.,B
4,A suspense account is used to,agree the trial balance,record sales,record purchases,correct errors,A
5,…………………checks the arithmetical accuracy of double entry accounts ,trading account ,profit and loss account ,balance sheet ,trial lance,D
6,The cost of raw materials consumed is,GHc 58,000.,GHc 52,500.,GHc 52,000.,GHc 50,000.,B
7,Which of the following is a debit item in the purchases ledger control account?,Balance b/d,Cheque dishonoured,Purchases,Balance c/d,D
8,Find the salary charged to Zera product.,N 1 854,N 1 845,N 1 062,N 1 134.,C
9,A discount that is allowed to encourage a debtor to pay off his debt within a period is the,trade discount,annual discount,periodic discount,cash discount.,D
10,Final accounts of a company refers to: ,Trading and profit and loss account  ,Profit and loss account and balance sheet  ,Trading account and balance sheet  ,Trading , profit and loss account and balance sheet,D
11,Share premium is an example of,revenue reserves,capital reserves,general reserves,loan capital,B
12,A system where a separate cash book is maintained for small payments is,single entry,imprest,float,reimbursement.,B
13,At the end of a trading period, wages will be  ,debited to trading account and shown as a current liability ,credited to profit and loss Account and shown as a current liability ,credited to trading account and shown as a current asset ,debited to profit and loss account and shown as a current liability,A
14,Which of the following is not a revenue receipt?,Receipt from sales of goods,Rent from premises sublet,Interest on savings account,cash on sale of fixed asset,D
15,In the balance sheet, the subscription in arrears will be,N 200,N 300,N 1,200,N 1,300,C
16,A debit balance on a bank statement indicates that ,bank is a debtor to the customer ,customer is a debtor to the bank ,bank is not a creditor to the customer ,customer is not a debtor to the bank,B
17,Which of the following is not a revenue account?,Sales,Purchases,Discount received,Interest received,B
18,If the scrap value is now N15, 000, what will be the yearly depreciation using straight line method?,N11 000,N7, 000,N 4, 000,N24. 000,C
19,Which of the following is a nominal account?,Machinery Account,Drawings Account,Debtors Account,Wages Account,D
20,Opening balance of Diksacompany was 12, 202, closing balance N15,300, total cash received during the period N40, 000. What was the amount of cash paid during the same period?,N36. 902,N27,502,N12,498,N43.098,C
21,Which of the following is not a source document?,Journal proper,Sales invoice,Debit note,Credit note,A
22,In the balance sheet, the subscription in arrears will be,N 200,N 300,N 1,200,N 1,300,C
23,Cash receipts and payments involving discounts are entered in,three-column cash book.,two-column cash book.,analytical cash book.,petty cash book.,A
24,Stock valuation is useful because it informs the sales department on the,prices of the competing goods,prices that will affect profitability,number of goods to produce,number of goods to sell.,B
25,Rent receivable is a,current asset,current liability,contingent liability,fictitious asset,B
26,Which of the following is a debit item in the purchases ledger control account?,Balance b/d,Cheque dishonoured,Purchases,Balance c/d,D
27,The accounting principle that is applied to check arbitrary actions on the part of accountants is,consistency,materiality,objectivity,realization,A
28,The accounting principle that is applied to check arbitrary actions on the part of accountants is,consistency,materiality,objectivity,realization,A
29,The federal government approved  N 140 m to local governments W, X, Y and Z. The amount is to be shared on the basis of 40% equality. 35% population and 25% internal revenue generation. Calculate the share of local government W on equality.,N 35 m,N 14 m .,N 56 m,N 28 m.,C
30,At the end of a trading period, wages will be  ,debited to trading account and shown as a current liability ,credited to profit and loss Account and shown as a current liability ,credited to trading account and shown as a current asset ,debited to profit and loss account and shown as a current liability,A
31,Stock valuation is useful because it informs the sales department on the,prices of the competing goods,prices that will affect profitability,number of goods to produce,number of goods to sell.,B
32,The budget statement presented to the legislature by the Chief Executive is called,an appropriation act,a budget bill,an appropriation bill,a budget proposal,C
33,The gross profit on manufacture is,N 6,120,N 6,100,N 5,100,N 5,000,C
34,  Prepaid wages is an item in the (i)Balance Sheet (ii) Profit and loss account (iii)Trading  account (iv) Cash account ,i, ii, iii only ,ii, iii  ,i, ii ,iii, iv,A
35,The accounting principle that is applied to check arbitrary actions on the part of accountants is,consistency,materiality,objectivity,realization,A
36,Cost of raw materials consumed is,D113,000,D105,500,D98,000,D95,500.,C
