Order,Question,A,B,C,D,answer
1,Real account are accounts that relates to _______,income,expenses,assets,profit ,C
2,A liability is _____________,anything of value owned by a business ,the amount owed by a business ,the money invested in a business,all goods sold by a business,B
3,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
4,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
5,If you want to be self employed  you have to _______,start off by thinking of a new idea of a business ,go around gossiping with people,run 50 kilometers a day ,engage in fight  in your neighborhood ,A
6,A place where valuable things and money are kept is called__________,bank,safe ,cabinet ,warehouse ,A
7,Accounting entries has ___________ halves,10,2,4,3,B
8,Commerce can broadly  be divided into two namely,trade and commerce,commerce and aids to commerce  ,trade and aids to trade,banking and finance,C
9,Real account are accounts that relates to _______,income,expenses,assets,profit ,C
10,The returns inwards journal is also known as   ______,proper journal, purchases returns book,sales returns book ,sales journal,C
11,The exchange and distribution of goods and services best define __________,commerce,book keeping ,keyboarding ,typist,A
12,If you want to be self employed  you have to _______,start off by thinking of a new idea of a business ,go around gossiping with people,run 50 kilometers a day ,engage in fight  in your neighborhood ,A
13,The ledger account can be classified into how many?,5,2,6,4 ,B
14,Which of the following is not a book of accounts _________,directory,journal,petty cash book,cash book,A
15,Accounting entries has ___________ halves,10,2,4,3,B
16,Fair play means ______,play against the rules,playing according to rules and orders ,playing a game ,cheating and laughing,B
17,The following are extractive occupation EXCEPT   ______,bricklaying,fishing,lumbering ,mining ,A
18,The department responsible for record keeping and paying of wages of all  employee is called,Accounting department,sales department,marketing department ,purchasing  department,A
19,The full meaning of TAP is,Transparency  Accountability and Probity,Trust Assessment Point,Transparency Accountability Policy,Tap Assurance Policy,A
20,Keyboarding is the utilization of a keyboard for ________,pressing,conducting,computer functions and typing,demonstrating   ,C
21,The book of secondary entry in which periodic transaction are recorded is called a ______________,ledger,special journal,day books ,sales journal     ,A
22,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
23,If you want to be self employed  you have to _______,start off by thinking of a new idea of a business ,go around gossiping with people,run 50 kilometers a day ,engage in fight  in your neighborhood ,A
24,The left hand side of a ledger account is called the __________,debit side,credit side, profit side,folio side,A
25,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
26,The exchange and distribution of goods and services best define __________,commerce,book keeping ,keyboarding ,typist,A
27,______ is an example of wants,oxygen,water ,food ,music ,D
28,How many forms of business organization do we have,1,2,5,4,C
29,Buying and selling of goods between Nigeria and china is known as _______ trade,wholesale,export  	,foreign,retail  ,C
30,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
31,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
32,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
33,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
34,Keyboarding is the utilization of a keyboard for ________,pressing,conducting,computer functions and typing,demonstrating   ,C
35,Which of the following comes under the classification of personal account?,real account,nominal account,expenses,debtors ,B
36,The left hand side of a ledger account is called the __________,debit side,credit side, profit side,folio side,A
37,The keyboard is an ___________,saving device,input device,output device,outdoor device    ,B
38,Which of the following best gives the meaning of entrepreneurship  _________,innovation in business     ,an undertaking ,introduction  of new product and services into the market,the art of organizing and owning a business taking with it all the financial risks with hope of making profit,D
39,Fair play means ______,play against the rules,playing according to rules and orders ,playing a game ,cheating and laughing,B
40,A liability is _____________,anything of value owned by a business ,the amount owed by a business ,the money invested in a business,all goods sold by a business,B
41,The reward of an entrepreneur is_____,interest,wages,expenses  ,profit ,D
42,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
43,__________ is the movement of people and product from one place to another,transportation,insurance ,banking,warehousing ,A
44,The ledger account can be classified into how many?,5,2,6,4 ,B
45,A liability is _____________,anything of value owned by a business ,the amount owed by a business ,the money invested in a business,all goods sold by a business,B
46,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
47,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
48,__________ involves storing of goods in a safe place until they are needed,commerce,Advertising,transport,warehousing,D
49,Commerce can broadly  be divided into two namely,trade and commerce,commerce and aids to commerce  ,trade and aids to trade,banking and finance,C
50,The department responsible for record keeping and paying of wages of all  employee is called,Accounting department,sales department,marketing department ,purchasing  department,A
51,Keyboarding is the utilization of a keyboard for ________,pressing,conducting,computer functions and typing,demonstrating   ,C
52,Protection and security made against future risk is called,insurance,banking,communication,transport,A
53,Capital is ____________,anything of value owned by a business,the amount owed by a business,the money invested in a business,all goods sold by a business,C
54,Double entry principle states that “for ________,every trader there must be a debtor”  ,every purchases there must be a receipt”,every debit entry there must be a corresponding credit entry”,every employer there must be an employee”,C
55,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
56,The keyboard remains the primary source of inputting ________ into computers.,facts,papers,files,information     ,D
57,An asset in book-keeping is     _____________,anything of value owned by a business,the amount owed by a business  ,all goods sold by a business ,the money the business started with,A
58,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
59,Keyboarding is the utilization of a keyboard for ________,pressing,conducting,computer functions and typing,demonstrating   ,C
60,In double entry book-keeping  the two aspects of a transaction are _________,buying and giving,debit and giving,buying and selling,giving and receiving ,D
61,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
62,The left hand side of a ledger account is called the __________,debit side,credit side, profit side,folio side,A
63,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
64,The other name for the purchases journal is   ______,general day book ,purchases day book,returns inwards book,sales day book,B
65,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
66,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
67,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
68,An asset in book-keeping is     _____________,anything of value owned by a business,the amount owed by a business  ,all goods sold by a business ,the money the business started with,A
69,Capital is ____________,anything of value owned by a business,the amount owed by a business,the money invested in a business,all goods sold by a business,C
70,The keyboard remains the primary source of inputting ________ into computers.,facts,papers,files,information     ,D
71,Which of the following best gives the meaning of entrepreneurship  _________,innovation in business     ,an undertaking ,introduction  of new product and services into the market,the art of organizing and owning a business taking with it all the financial risks with hope of making profit,D
72,How many forms of business organization do we have,1,2,5,4,C
73,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
74,How many forms of business organization do we have,1,2,5,4,C
75,__________ is the movement of people and product from one place to another,transportation,insurance ,banking,warehousing ,A
76,The returns inwards journal is also known as   ______,proper journal, purchases returns book,sales returns book ,sales journal,C
77,The art of keeping account in a regular and systematic manner is called,accountancy,book – keeping,accounting,capital,B
78,Real account are accounts that relates to _______,income,expenses,assets,profit ,C
79,_______ is the person that buys goods for the purpose of not reselling the goods but for consumption,retailer,wholesaler,consumer ,producer,C
80,Having a vision can be described as,having good eyes sight,identify opportunities others cannot see,being able to predict the future,going about with a cane ,C
81,Any individual who operates or service as a sole-employment is____,self- employed,multi- employed ,compu-employed   ,digi-employed,A
82,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
83,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
84,An asset in book-keeping is     _____________,anything of value owned by a business,the amount owed by a business  ,all goods sold by a business ,the money the business started with,A
85,Protection and security made against future risk is called,insurance,banking,communication,transport,A
86,In double entry book-keeping  the two aspects of a transaction are _________,buying and giving,debit and giving,buying and selling,giving and receiving ,D
87,The department responsible for selling the products of the organization is called,purchasing department,sales department,transport  department,planning department,B
88,The book of secondary entry in which periodic transaction are recorded is called a ______________,ledger,special journal,day books ,sales journal     ,A
89,The book of secondary entry in which periodic transaction are recorded is called a ______________,ledger,special journal,day books ,sales journal     ,A
90,Which of the following best gives the meaning of entrepreneurship  _________,innovation in business     ,an undertaking ,introduction  of new product and services into the market,the art of organizing and owning a business taking with it all the financial risks with hope of making profit,D
91,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
92,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
93,Having a vision can be described as,having good eyes sight,identify opportunities others cannot see,being able to predict the future,going about with a cane ,C
94,The department responsible for record keeping and paying of wages of all  employee is called,Accounting department,sales department,marketing department ,purchasing  department,A
95,The department responsible for record keeping and paying of wages of all  employee is called,Accounting department,sales department,marketing department ,purchasing  department,A
96,Protection and security made against future risk is called,insurance,banking,communication,transport,A
97,__________ involves storing of goods in a safe place until they are needed,commerce,Advertising,transport,warehousing,D
98,All these except one is not a universal right of a consumer,right to redress,right to choose,right to eat ,right to healthy environment,C
99,Which of the following best gives the meaning of entrepreneurship  _________,innovation in business     ,an undertaking ,introduction  of new product and services into the market,the art of organizing and owning a business taking with it all the financial risks with hope of making profit,D
100,The purpose of the purchases journal is to provide one of the following   ______,evidence of sales,evidence of overcharging,record of all the goods a business has purchased on credit,date of sales,C
