Order,Question,A,B,C,D,answer
1,6000 J of heat is delivered to 10g of dry ice at O0C. What is the final temperature if the container has a heat capacity of 20J/K? (specific heat of water = 4200j/kg.k  latent heat of fusion of ice = 3.33 x 105J/kg)  ,142.90C  ,63.60C  ,43.00C  ,00C,C
2,The temperature at which the water vapour in the air saturates the air and begins to condense is,melting point ,triple point ,dew point ,melting point,C
3,Which of the following statements are correct of nuclear fission? During the process    I. energy is released    II. More neutrons are released than those that cause fission    III. Small nuclei merge into large nuclei    IV. There is a loss on mass   ,II and I only,III,I II and IV,IV and III,C
4,  A gas at constant pressure of 4.0 x 105 Pa is cooled so that its volume decreases from 1.6m3 to 1.2m3. What work is performed by the gas? ,6.4 x 105 J ,3.2 x 105 J  ,1.6 x 105 J ,0.4 x 105 J  ,C
5,The force with which an object is attracted to the earth is called ,acceleration ,mass ,gravity ,weight,D
6,The silver wall of a vacuum flask prevents heat loss due to ,conduction ,Convection ,Radiation ,Diffraction,C
7,Which of the following instruments has a pure tone? ,guitar ,Vibrating String ,Turning forks ,Screen ,C
8,A transformer is connected to a 240 V supply. The primary coil has 40 turns  and the secondary is found to be 960V. What is the ratio of the number of turns of the primary coil to the number of turns of the secondary coil? ,4:01,1:04,1:06,6:01,A
9,A devise that converts sound energy into electrical energy is ,the horn of a motor car ,An AC generator ,A microphone ,Telephone earpiece ,C
10,A vehicle of mass m is driven by an engine of power P from rest. Find the minimum time it will take to acquire a speed v. ,mv2/p ,mv2/2p ,mv/p ,mv/2p,B
11,A capacity of 2.0 x 10-11F and an inductor are joined in series. The value of the inductance that will give the circuit a resonant frequency of 200KHz is ,1/16H ,1/8H ,1/64H ,1/32H,D
12,Which of the following is not a thermometer?  ,thermocouple  ,pyrometer  ,hydrometer  ,platinum resistance thermometer. ,C
13,The half-life of a radioactive element is 9 days. What fraction of atoms has decayed in 36 days? ,16-Jan,¼ , ½ ,15/16,D
14,A temperature scale has a lower fixed point of 40mm and an upper fixed point of 200mm. What is the reading on this scale when the temperature reads 60oc? ,136.omm ,33.3mm ,96.0mm ,36.0mm,A
15,A hydraulic press works on the principle of transmission of   ,force  ,energy  ,volume  ,pressure,D
16,Dry air of column length 10 cm is trapped by a pellet of mercury of length 15 cm  with the open end uppermost. When the capillary is inverted the length of the air column increased to 25 cm while that of mercury remained constant. Calculate the atmospheric pressure (in cm of Hg.)  ,35 cm Hg  ,15 cm Hg  ,20 cm Hg  ,35 cm Hg,D
17,  A convex lens of focal length 10.0cm is used to form a real image which is half the size of the object. How far from the object is the image? ,45cm ,30cm ,15cm ,20cm,C
18,A car accelerates at 5.0m/s2 for 6s  the travels at the speed attained for 20s  and comes to rest after another 4.0s. Calculate the average velocity of the car during the motion.,25.0m/s,20.0m/s ,1.25m/s ,0.16m/s,A
19,A vehicle of mass m is driven by an engine of power P from rest. Find the minimum time it will take to acquire a speed v. ,mv2/p ,mv2/2p ,mv/p ,mv/2p,B
20,An automobile is traveling at 60km/hr. calculate the angular velocity of the 0.35m radius wheels. ,16.67rad/s ,47.6 rad/s ,21 rad/s ,171.4 rad/s,B
21,To find the dept of the sea  a ship send out a second waves and an echo after one second. If the velocity of sound in water is 1500m/s  what is the depth of the sea ,0.75km ,1.50km ,2.20km ,3.00km ,A
22,The product PV where P is pressure and V is a volume has the same unit as ,force ,power ,energy ,acceleration ,C
